price,description,charge_type,DateUpdated
405.0,PSYCH DIAG EVAL W/O MED SVC,standard,2020-03-09
442.0,O/P VISIT NEW  PATIENT,standard,2020-03-09
479.0,PSYCH DIAG EVAL W/MED SVC,standard,2020-03-09
578.0,LEVONORGESTREL 3YR IMPLANT,standard,2020-03-09
578.0,LEVONORGESTREL 5YR IMPLANT,standard,2020-03-09
750.0,SKYLA INTRAUTERINE DEVICE,standard,2020-03-09
4094.0,DESTRUCTION RECTAL TUMOR,standard,2020-03-09
4320.0,HYSTEROSCOPY DIAGNOSTIC,standard,2020-03-09
464.0,US PREGNANCY >14WKS SNGL FETUS,standard,2020-03-09
507.0,FBP W NON-STRESS TEST,standard,2020-03-09
532.0,OB US>/=14WKS     ADDL FETUS,standard,2020-03-09
1441.0,OXYTOCIN TREATMENT,standard,2020-03-09
2152.0,L&D RECOVERY ROOM,standard,2020-03-09
2943.0,ANTEPARTUM MANIPULATION,standard,2020-03-09
3752.0,DELIVERY ROOM,standard,2020-03-09
4342.0,TUBAL LIGATION,standard,2020-03-09
5766.0,DELIVERY MULTIPLE BIRTHS,standard,2020-03-09
6379.0,DELIVERY ROOM C/S,standard,2020-03-09
7443.0,DELIVERY C/S W TUBAL LIGATION,standard,2020-03-09
7879.0,OB AMBULATORY PROCEDURE,standard,2020-03-09
8771.0,DELIVERY C/S MULTIPLE BIRTHS,standard,2020-03-09
254.0,CT CONE BEAM CPT/INT LIMITED,standard,2020-03-09
254.0,CT CONE BEAM CPT/INT MANDIBLE,standard,2020-03-09
254.0,CT CONE BEAM IMAGE CPT MAND,standard,2020-03-09
541.0,EXTRACTION ERUPTED TOOTH,standard,2020-03-09
386.0,MOBILIZE ERUPTED/MALPOS TOOT,standard,2020-03-09
194.0,ORAL EVAL PT<3YRS AGE,standard,2020-03-09
695.0,SURG ACCESS-UNERUPTED TOOTH,standard,2020-03-09
32.0,ADDITIONAL PERIAPICAL X-RAY,standard,2020-03-09
55.0,PEROAPICAL X-RAY 1ST FILM,standard,2020-03-09
55.0,INTRAORAL OCCLUSAL FILM,standard,2020-03-09
55.0,BITE WINGS SINGLE FILM,standard,2020-03-09
78.0,BITEWINGS 2 FILMS,standard,2020-03-09
94.0,BITEWINGS 3 FILMS,standard,2020-03-09
109.0,TOPICAL APP OF FLUORIDE,standard,2020-03-09
117.0,BITEWINGS 4 FILMS,standard,2020-03-09
117.0,SEALANT PER TOOTH,standard,2020-03-09
155.0,THERAP TOPICAL FLUORIDE APPLI,standard,2020-03-09
171.0,PROPHYLAXIS DENTAL/CHILD,standard,2020-03-09
194.0,ANES IV CONSC ADD .25H,standard,2020-03-09
195.0,ORAL/FACIAL PHOTO IMAGES,standard,2020-03-09
201.0,RECEMENT CROWN,standard,2020-03-09
207.0,OBSERVATION VISIT,standard,2020-03-09
232.0,FULL MOUTH X-RAYS,standard,2020-03-09
232.0,DIAGNOSTIC CASTS,standard,2020-03-09
232.0,PROPHYLAXIS DENTAL/ADULT,standard,2020-03-09
232.0,AMALGAM-1 SURF PRIM/PERM,standard,2020-03-09
232.0,SEDATIVE FILLING,standard,2020-03-09
232.0,DRESSING CHANGE NON-TREAT DENT,standard,2020-03-09
232.0,ADJ COMPLETE DENTURE MAXILLARY,standard,2020-03-09
232.0,ADJ COMPL DENTURE MANDIBULAR,standard,2020-03-09
232.0,ADJ PARTIAL DENTURE MAXILLARY,standard,2020-03-09
232.0,ADJ PART DENTURE MANDIBULAR,standard,2020-03-09
232.0,DENT APPL DESENSITIZING MED,standard,2020-03-09
232.0,LIMITED OCCLUSAL ADJUSTMENT,standard,2020-03-09
271.0,PANORAMIC FILM,standard,2020-03-09
286.0,PERIODIC ORAL EVAL,standard,2020-03-09
286.0,LIMIT ORAL EVAL PROB FOCUSED,standard,2020-03-09
286.0,COMPREHEN EVALUATION NEW,standard,2020-03-09
286.0,EXT ORAL EVAL PROB FOCUSED,standard,2020-03-09
286.0,TMJ ARTHROGRAM,standard,2020-03-09
286.0,DENTAL CONSULTATION,standard,2020-03-09
309.0,AMALGAM-2 SURF PRIM/PERM,standard,2020-03-09
309.0,RESIN 1 SURF ANTERIOR,standard,2020-03-09
309.0,PERIODONTAL MAINTENANCE,standard,2020-03-09
309.0,PALLIATIVE TX,standard,2020-03-09
309.0,FIXED PARTIAL DENTURE SECTIONI,standard,2020-03-09
348.0,CEPHALOMETRIC FILM,standard,2020-03-09
348.0,AMALGAM-3 SURF PRIM/PERM,standard,2020-03-09
385.0,DEEP SEDATION/GA EACH ADD 15MI,standard,2020-03-09
386.0,SPACE MAINT FIXED UNILATERAL,standard,2020-03-09
386.0,RESIN 2 SURF ANTERIOR,standard,2020-03-09
386.0,RESIN 1 SURF POSTERIOR/PERM,standard,2020-03-09
386.0,BIOLOGIC MATRL TISSUE,standard,2020-03-09
406.0,UNSPECIFIED DIAGNOSTIC PROC,standard,2020-03-09
406.0,RESTORATIVE PROC UNSPECIFIED,standard,2020-03-09
406.0,FIXED PROSTHODONTIC PROCEDURE,standard,2020-03-09
426.0,FULL MOUTH DEBRIDEMENT,standard,2020-03-09
426.0,BIOPSY OF ORAL TISSUE SOFT,standard,2020-03-09
426.0,BONE REPLACEMENT GRAFT RIDGE,standard,2020-03-09
449.0,NIGHT GUARD,standard,2020-03-09
464.0,RESIN 3 SURF ANTERIOR,standard,2020-03-09
464.0,SSC PRIMARY,standard,2020-03-09
464.0,THERAPEUTIC PULPOTOMY,standard,2020-03-09
464.0,SCALE & ROOT PLANNING 4+ TEETH,standard,2020-03-09
464.0,SCALE & ROOT PLANNING 1-3TEETH,standard,2020-03-09
464.0,REPAIR BRKN COMPL DENTURE BASE,standard,2020-03-09
464.0,REPLACE TOOTH COMPL DENTURE,standard,2020-03-09
464.0,REPAIR/REPLACE BROKEN CLASP,standard,2020-03-09
464.0,REPLACE BRKN TEETH PER TOOTH,standard,2020-03-09
464.0,ADD TOOTH EXISTING PART DENT,standard,2020-03-09
464.0,TISSUE CONDITIONING MAX,standard,2020-03-09
464.0,TISSUE CONDITIONING MAND,standard,2020-03-09
487.0,IMPACT TOOTH REMOV PART BONY,standard,2020-03-09
487.0,ENDODONTIC PROCED     UNSPECIFIED,standard,2020-03-09
503.0,RESIN 2 SURF POSTERIOR/PERM,standard,2020-03-09
503.0,ALVEOLOPLASTY W/EXTRACTION,standard,2020-03-09
541.0,RESIN 4 SURF ANT/INCISAL ANGLE,standard,2020-03-09
541.0,PREFAB POST CORE IN ADD TO CRO,standard,2020-03-09
541.0,GINGIVECTOMY/PLASTY 1-3 TEETH,standard,2020-03-09
541.0,PERIODONTAL PROC UNSPECIFIED,standard,2020-03-09
541.0,REPL SEMI/PRECISION ATTACH,standard,2020-03-09
541.0,EXTRACT CORNL REMN DECID TOOTH,standard,2020-03-09
541.0,BIOPSY OF ORAL TISSUE HARD,standard,2020-03-09
541.0,ALVEOPLASTY W/EXTRACTION,standard,2020-03-09
568.0,UNSPECIFIED IMPLANT PROCEDURE,standard,2020-03-09
580.0,RESIN 3 SURF POSTERIOR/PERM,standard,2020-03-09
618.0,PROVISIONAL CROWN,standard,2020-03-09
618.0,SSC PERMANENT,standard,2020-03-09
618.0,POST & CORE CAST,standard,2020-03-09
618.0,TEMPORARY CROWN FX TOOTH,standard,2020-03-09
618.0,ANA CROWN EXP 1-3 PER QUAD,standard,2020-03-09
618.0,IMPLANT MAINTENANCE,standard,2020-03-09
657.0,RESIN 4 SURF POSTERIOR/PERM,standard,2020-03-09
695.0,SIALOGRAPHY,standard,2020-03-09
695.0,BONE REPLACEMENT GRAFT INITIAL,standard,2020-03-09
695.0,REGEN TISS RESORB,standard,2020-03-09
695.0,RELINE COMPL MAX DENT CHAIRED,standard,2020-03-09
695.0,RELINE COMPL MAND DENT CHAIRED,standard,2020-03-09
695.0,RELINE MAX PART DENT CHAIRED,standard,2020-03-09
695.0,RELINE MAND PART DENT CHAIRED,standard,2020-03-09
695.0,I&D ABSC INTRAORAL SOFT TISSUE,standard,2020-03-09
772.0,CORE BUILD UP,standard,2020-03-09
772.0,PULPAL THERAPY 10 ANT,standard,2020-03-09
772.0,REPAIR RESIN DENTURE BASE,standard,2020-03-09
850.0,GINGIVECTOMY/PLASTY PER QUAD,standard,2020-03-09
850.0,REBASE COMPL MAXILLARY DENTURE,standard,2020-03-09
850.0,REBASE MANDIBULAR PART DENT,standard,2020-03-09
850.0,RELINE COMPL MAX DENT LAB,standard,2020-03-09
850.0,IMPACT TOOTH REMOVE SOFT TISSU,standard,2020-03-09
850.0,TOOTH ROOT REMOVAL,standard,2020-03-09
850.0,ALVEOPLASTY W/O EXTRACTION,standard,2020-03-09
850.0,REM ODONTOGENIC CYST <1.25CM,standard,2020-03-09
850.0,FRENULECTOMY-SEP PROC,standard,2020-03-09
927.0,RESIN COMP CROWN-ANTERIOR,standard,2020-03-09
927.0,PULPAL THERAPY 10 POST,standard,2020-03-09
927.0,CLNC CROWN LENGTH/HARD TISSUE,standard,2020-03-09
927.0,PONTIC PROVISIONAL,standard,2020-03-09
974.0,REMOVE IMPLANT BY REPORT,standard,2020-03-09
1004.0,RETAINER CAST METAL BND BRGE,standard,2020-03-09
1004.0,BRIDGE REPAIR,standard,2020-03-09
1004.0,REM IMP TOOTH WITH MUCOPER,standard,2020-03-09
1004.0,IMPACT TOOTH REMOV PART BONY,standard,2020-03-09
1004.0,RAD EXC LESION UP TO 1.25 CM,standard,2020-03-09
1004.0,ANES IV CONCIOUS SEDT 1ST .5H,standard,2020-03-09
1101.0,DEEP SEDATION/GA 1ST 30 MINS,standard,2020-03-09
1158.0,INTERIM PART DENT MAXILLARY,standard,2020-03-09
1158.0,INTERIM PART DENT MANDIBULAR,standard,2020-03-09
1158.0,PRECISION ATTACHMENT,standard,2020-03-09
1158.0,IMPACT TOOTH REMOV COMP BONY,standard,2020-03-09
1158.0,REM LATERAL EXOSTOSIS,standard,2020-03-09
1353.0,IMPACT TOOTH REM BONY W/COMP,standard,2020-03-09
1390.0,ENDODONTIC THERAPY/ANT,standard,2020-03-09
1544.0,DENT IMPLNT SUPPRTD CONNCT BAR,standard,2020-03-09
1544.0,PREFAB ABTMNT INCL PLACMNT,standard,2020-03-09
1544.0,CSTM ABTMNT INCL PLACEMNT,standard,2020-03-09
1544.0,UNLISTED ADJUNCT PROCEDURE,standard,2020-03-09
1854.0,ENDODONTIC THERAPY/PREMOLAR,standard,2020-03-09
1854.0,RETREAT-ENDO ANTERIOR,standard,2020-03-09
1854.0,ODONTICS ENDOSEAL IMPLANT,standard,2020-03-09
1854.0,PARTIAL OSTECTOMY/SEQUES,standard,2020-03-09
1854.0,MANDIBLE GRAFT,standard,2020-03-09
1931.0,SINUS AUG W BONE/BONE SUP,standard,2020-03-09
2009.0,CROWN PORC/CERAMIC SUBSTRATE,standard,2020-03-09
2009.0,CROWN PORCELAIN W/H NOBLE M,standard,2020-03-09
2009.0,CROWN PFM,standard,2020-03-09
2009.0,BRIDGE PORCELAIN HIGH NOBLE,standard,2020-03-09
2009.0,PONTIC PORCELAIN/CERAMIC,standard,2020-03-09
2009.0,CROWN PORCELAIN HIGH NOBLE,standard,2020-03-09
2317.0,ENDODONTIC THERAPY/MOLAR,standard,2020-03-09
2317.0,RETREAT-ENDO PREMOLAR,standard,2020-03-09
2626.0,ABTMNT SUPRT PORC/CRMC CRWN,standard,2020-03-09
2626.0,ABUTMENT SUPPORT METAL CROWN,standard,2020-03-09
2626.0,ABUTMENT SUPPORTED MTL CROWN,standard,2020-03-09
2626.0,ABUTMENT SUPPORT METAL CROWN,standard,2020-03-09
2626.0,IMPL SUPPRTD PORC/CRMC CRWN,standard,2020-03-09
2626.0,IMPL SUPPRTD PORC FUSE MLT CRW,standard,2020-03-09
2626.0,ABUTMENT SUPPORT RETAINER,standard,2020-03-09
2626.0,ABUT SUPPORT RETAINER NOBEL MT,standard,2020-03-09
2626.0,CROWN PORCELAIN/CERAMIC,standard,2020-03-09
2636.0,OVERDENTURE - MAXILLA,standard,2020-03-09
3089.0,OBTURATOR PROSTHESIS INTERIM,standard,2020-03-09
3244.0,COMPLETE DENTURE MAXILLARY,standard,2020-03-09
3244.0,COMPLETE DENTURE MANDIBULAR,standard,2020-03-09
3244.0,PART DENTURE MAXIL RESIN BASE,standard,2020-03-09
3244.0,PART DENTURE MANDIB RESIN BASE,standard,2020-03-09
3244.0,PART DENTURE MAXIL CAST FRAME,standard,2020-03-09
3244.0,PART DENTURE MANDIB CAST FRAME,standard,2020-03-09
8494.0,IMPLNT/ABUT SUPPRT FIX DENT CO,standard,2020-03-09
927.0,HEMODIALYSIS VISIT,standard,2020-03-09
1331.0,DIALYSIS M2 CH,standard,2020-03-09
2330.0,HEMODIALYSIS CONT VENO-VENOUS,standard,2020-03-09
3980.0,PERITONEAL DIALYSIS,standard,2020-03-09
3237.5,AFLIBERCEPT 2MG/.05ML KIT,standard,2020-03-09
0.3341941941941942,AMITRIPTYLINE TAB 10 MG,standard,2020-03-09
2.66,AMITRIPTYLINE TAB 100 MG,standard,2020-03-09
0.665893909626719,AMITRIPTYLINE TAB 25 MG,standard,2020-03-09
1.8735377358490566,AMITRIPTYLINE TAB 50 MG,standard,2020-03-09
2.008780487804878,AMITRIPTYLINE TAB 75 MG,standard,2020-03-09
0.03,NIVOLUMAB 10MG/ML INJ (NC),standard,2020-03-09
0.030359712230215826,ECULIZUMAB 10MG/ML INJ NC,standard,2020-03-09
0.03051282051282051,PEMBROLIZUMAB INJ 100MG NC,standard,2020-03-09
0.03333333333333333,PONATINIB 15 MG TAB,standard,2020-03-09
0.03368421052631579,RUXOLITINIB 5MG,standard,2020-03-09
0.04,IDELALISIB 150 MG TAB,standard,2020-03-09
0.04,ALEMTUZUMAB INJ 30ML/1ML,standard,2020-03-09
0.04,RUXOLITINIB 10MG TAB,standard,2020-03-09
0.04,RUXOLITINIB 15MG TAB,standard,2020-03-09
0.04,PONATINIB 45 MG TAB,standard,2020-03-09
0.04,IBRUTINIB 140 MG CAP,standard,2020-03-09
0.5103944020356234,METHOTREXATE INJ 25 MG/ML 4 ML,standard,2020-03-09
0.6301716937354989,METHOTREXATE SODIUM    5 MG,standard,2020-03-09
0.7230563002680965,OXALIPLATIN INJ 100MG,standard,2020-03-09
0.74,DEXAMETHASONE 12 MG/50 ML D5W,standard,2020-03-09
0.7541372252563588,PACLITAXEL INJ 100 MG/17 ML,standard,2020-03-09
1.05,OXALIPLATIN INJ 50MG,standard,2020-03-09
1.3851704545454546,METHOTREXATE INJ 25 MG/ML 2 ML,standard,2020-03-09
1.43,PACLITAXEL    30 MG,standard,2020-03-09
1.475597475021693,METHOTREXATE 250MG/10ML INJ,standard,2020-03-09
1.735475473321859,ETOPOSIDE INJ 100 MG,standard,2020-03-09
1.89307286381165,ETOPOSIDE INJ 500 MG,standard,2020-03-09
2.1377233665257127,INJ    OCTREOTIDE ACETATE    1 MG,standard,2020-03-09
2.379,CYTARABINE INJ 2 G,standard,2020-03-09
2.8295258999122037,METHOTREXATE I.T. SY 2 MG/ML,standard,2020-03-09
3.2622093023255814,TOPOTECAN INJ 4 MG,standard,2020-03-09
3.4470180084745765,ETOPOSIDE 20MG/ML INJ 50ML,standard,2020-03-09
3.5,TAMOXIFEN TAB 20MG,standard,2020-03-09
3.5,LEUCOVORIN IV SY 10 MG/ML,standard,2020-03-09
4.009383778239936,DOCETAXEL INJ 80 MG,standard,2020-03-09
4.201369047619048,CYTARABINE INJ 500 MG,standard,2020-03-09
4.380881029742564,AZACITADINE INJ 100MG,standard,2020-03-09
5.0899652911685305,FLUOROURACIL INJ 50 MG/ML 50ML,standard,2020-03-09
5.576923076923077,BEVACIZUMAB INJ 1.25MG,standard,2020-03-09
6.100311433678168,CYTARABINE INJ 1 G,standard,2020-03-09
6.401204649524479,CISPLATIN 1 MG/ML INJ 200 ML,standard,2020-03-09
6.473484848484849,CISPLATINOL    POWDER    PER 10 MG,standard,2020-03-09
6.50753355704698,CISPLATIN INJ 1 MG/ML 50 ML,standard,2020-03-09
6.974615384615385,FLUOROURACIL    500 MG,standard,2020-03-09
7.1090872426782905,FOSAPREPITANT INJ 150MG,standard,2020-03-09
7.705952380952381,METHOTREXATE    ORAL    2.5 MG,standard,2020-03-09
7.98353202846975,IRINOTECAN    20 MG,standard,2020-03-09
8.020644728005374,LEUCOVORIN CALCIUM INJ 350 MG,standard,2020-03-09
9.871990185387132,DOXORUBICIN INJ 50 MG/25 ML,standard,2020-03-09
10.731588072122053,INJ VINBLASTINE SULFATE 1 MG,standard,2020-03-09
11.268173076923079,CARBOPLATIN INJ 150 MG,standard,2020-03-09
11.465992509363295,CARBOPLATIN INJ 450 MG,standard,2020-03-09
11.54528810092056,CARBOPLATIN INJ 10 MG/ML 60 ML,standard,2020-03-09
12.222577319587629,LEUCOVORIN CALCIUM INJ 100 MG,standard,2020-03-09
13.082191780821917,CYTARABINE I.T. 20 MG/ML,standard,2020-03-09
13.11659090909091,LEUCOVORIN CALCIUM INJ 200 MG,standard,2020-03-09
13.15,CYTARABINE IV SY 20 MG/ML,standard,2020-03-09
14.148780487804878,TEMOZOLOMIDE 5 MG    TEMODAR,standard,2020-03-09
14.480108004198756,AZACITADINE INJ SYRG 25MG/ML,standard,2020-03-09
14.58,CYCLOPHOSPHAMIDE 50MG CAP,standard,2020-03-09
15.193502824858758,DACARBAZINE INJ 200 MG,standard,2020-03-09
15.301973684210527,CYTARABINE    100 MG,standard,2020-03-09
15.693595505617978,CARBOPLATIN    50 MG,standard,2020-03-09
16.35960498960499,VINCRISTINE INJ 2MG,standard,2020-03-09
17.472934782608696,INJ    LEUCOVORIN    PER 50 MG,standard,2020-03-09
19.987000000000002,DEGARELIX INJ 80 MG *R*,standard,2020-03-09
20.161474758933636,VINCRISTINE INJ 1 MG/ML,standard,2020-03-09
20.72,ELOTUZUMAB INJ 400MG,standard,2020-03-09
20.751428571428573,DEGARELIX INJ 120 MG *R*,standard,2020-03-09
21.103778833107192,DOXORUBICIN HCL    10 MG,standard,2020-03-09
21.716603773584907,GEMCITABINE HCL    200 MG,standard,2020-03-09
33.17294642857143,DOXORUBICIN    LIPID FORM    10 MG,standard,2020-03-09
36.36432432432432,INJ    PAMIDRONATE DIS    PER 30 MG,standard,2020-03-09
39.370000000000005,PERTUZUMAB 420 MG/14 ML INJ,standard,2020-03-09
41.98793540545234,PACLITAXEL PBP 100MG-ABRAXANE,standard,2020-03-09
43.069972660223804,USTEKINUMAB 5MG/ML INJ,standard,2020-03-09
45.453562231759655,VINORELBINE INJ 10 MG/ML 1 ML,standard,2020-03-09
50.76715718622146,INJ    BUSULFAN PER 6 MG,standard,2020-03-09
51.32626943005181,VINORELBINE    PER 10 MG,standard,2020-03-09
69.29358571428571,INJ    CLADRIBINE    PER 1 MG,standard,2020-03-09
79.08765527262416,BENDAMUSTINE 100MG/4ML INJ,standard,2020-03-09
84.01528571428571,MITOXANTRONE INJ 2 MG/ML 15 ML,standard,2020-03-09
90.36345319280844,NIVOLUMAB 10MG/ML INJ 10ML,standard,2020-03-09
90.40984996542983,NIVOLUMAB 240 MG/24 ML INJ,standard,2020-03-09
91.77,NIVOLUMAB 10MG/ML INJ 4 ML,standard,2020-03-09
94.08209944751381,BLEOMYCIN SULFATE    15 UNITS,standard,2020-03-09
103.9665625,MITOXANTRONE HCL 2 MG/ML 10 ML,standard,2020-03-09
106.33836944127708,IFOSFAMIDE 3000MG,standard,2020-03-09
112.35653366583541,RILPIVIRINE TAB 25 MG *R*,standard,2020-03-09
120.57625,IFOSFAMIDE    1 GM,standard,2020-03-09
141.65,GEMCITABINE INJ 200 MG/ 10 ML,standard,2020-03-09
144.96,IRINOTECAN LIPOSOMAL 43MG/10ML,standard,2020-03-09
147.39891156462585,IDARUBICIN INJ 1 MG/ML 10 ML,standard,2020-03-09
153.7898740452901,BORTEZOMIB 2.5MG/ML SUBQ SYRIN,standard,2020-03-09
154.2417929759704,DAUNORUBICIN HCL    10 MG,standard,2020-03-09
160.3,BORTEZOMIB INJ 3.5 MG,standard,2020-03-09
161.51539517179205,PEMBROLIZUMAB 100MG INJ,standard,2020-03-09
166.92484374999998,OLARATUMAB 500MG INJ,standard,2020-03-09
173.441275632736,DARATUMUMAB INJ 400MG/20ML,standard,2020-03-09
175.6151473053892,CYCLOPHOSPHAMIDE 100 MG,standard,2020-03-09
177.55,DARATUMUMAB INJ 100MG/5ML,standard,2020-03-09
182.7441984114119,RITUXIMAB HYALURONIDASE 1400MG,standard,2020-03-09
184.72659574468085,OFATUMUMAB INJ 100MG/5ML *R*,standard,2020-03-09
186.17,OFATUMUMAB 1000 MG/50 ML *R*,standard,2020-03-09
186.3367688022284,FLUDARABINE    50 MG,standard,2020-03-09
189.43,RAMUCIRUMAB 10MG/ML 50ML,standard,2020-03-09
190.88941919191922,TEMSIROLIMUS INJ 25 MG,standard,2020-03-09
191.32,RAMUCIRUMAB 10MG/ML 10ML,standard,2020-03-09
196.92724696356274,CETUXIMAB INJ 100MG/50ML,standard,2020-03-09
216.50445632798574,OBINUTUZUMAB 25MG/ML INJ 40ML,standard,2020-03-09
217.03926528337934,PEMETREXED 500 MG INJ,standard,2020-03-09
222.1258969072165,ARSENIC TRIOXI INJ 1MG/ML 10ML,standard,2020-03-09
247.01999999999998,ETOPOSIDE    ORAL    50 MG,standard,2020-03-09
252.76333333333335,ATEZOLIZUMAB 1200MG/20ML INJ,standard,2020-03-09
261.6688212911681,BEVACIZUMAB INJ 400MG/16ML,standard,2020-03-09
270.7953973509934,BEVACIZUMAB INJ 100MG/4ML,standard,2020-03-09
276.07200460829495,CLOFARABINE INJ 20MG/20ML,standard,2020-03-09
310.9371169590643,FULVESTRANT 250MG SYRINGE,standard,2020-03-09
315.4044132397192,SILTUXIMAB 400MG INJ,standard,2020-03-09
332.8288220230474,INJECTION TRASTUZUMAB 10 MG,standard,2020-03-09
333.7532494353017,GEMCITABINE INJ 2000 MG,standard,2020-03-09
345.8,CYTARABINE LIPO I.T. 10 MG/ML,standard,2020-03-09
346.03,PANITUMUMAB INJ 20 MG/ML 20 ML,standard,2020-03-09
354.34908616187994,NILOTINIB CAP 200 MG,standard,2020-03-09
356.50905041031655,TRASTUZUMAB 150MG INJ,standard,2020-03-09
362.61285714285714,BLINATUMOMAB 35MCG INJ,standard,2020-03-09
370.0375,DASATINIB TAB 20MG,standard,2020-03-09
379.70000000000005,ERLOTINIB TAB 150MG,standard,2020-03-09
380.4971428571429,MITOMYCIN INJ 0.5 MG/ML 40 ML,standard,2020-03-09
420.0,IPILIMUMAB INJ 5MG/ML 10ML *NF,standard,2020-03-09
450.1,MITOMYCIN 40 MG INJ,standard,2020-03-09
478.23999999999995,BRENTUXIMAB INJ 50 MG *R*,standard,2020-03-09
479.7026348547718,NELARABINE INJ 250 MG/50 ML,standard,2020-03-09
480.22,IPILIMUMAB INJ 5MG/ML 40ML *NF,standard,2020-03-09
499.423820754717,SOREFENIB TAB 200MG *R*,standard,2020-03-09
695.475,DEXRAZOXANE 250MG INJ,standard,2020-03-09
999.8632903225807,GEMTUZUMAB OZOGAMICIN *NF* 5MG,standard,2020-03-09
1119.0793243243243,ROMIDEPSIN INJ 10 MG *R*,standard,2020-03-09
1132.1000000000001,GOSERELIN 10.8MG IMP,standard,2020-03-09
1254.56692972973,DOXORUBICIN LIPOSOME 2 MG/ML 1,standard,2020-03-09
1350.1176363636364,ERWINA L-ASPARGINASE,standard,2020-03-09
2138.0618721461187,THIOTEPA 100MG INJ,standard,2020-03-09
2739.4,ERWINIA ASPARAG 5000 UNIT,standard,2020-03-09
2978.9943133802817,DEFIBROTIDE INJ 200MG/2.5ML,standard,2020-03-09
3153.226518547141,RITUXIMAB INJ 10 MG/ML 50 ML,standard,2020-03-09
3155.1141359950097,INJECTION RITUXIMAB 100 MG,standard,2020-03-09
