UF Health Shands Gainesville - Pricing Transparency Charge Master,,
Issued 7/1/2019,,
"NOTE: prices identified as ""Mark Up' encompass multiple items with different prices based item markup",,
,,
BILLING_DESC,UNIT,PRICE
.018 X5CMX 2MM TORNADO EMB COI ,EACH,245
.018X180CM DBL ANG WIRE GT ,EACH,550
.018X300CM STEEL/CORE 18 LT WI ,EACH,255
.018X300CM STEEL/CORE 18 WIRE ,EACH,255
.018X3MMX10CM AZUR HYDOCOIL ,EACH,2115
.018X3MMX5CM AZUR HYDOCOIL ,EACH,1995
.018X40CM WIRE ,EACH,105.00
.021 X 260CM J WIRE ,EACH,70
.021 X 80CM J WIRE ,EACH,90
.021 X145CM STR WIRE ,EACH,40.00
.025 X 260CM J EXCH WIRE (AES) ,EACH,90
.025 X145CM STR WIRE ,EACH,40
.025 X150CM ANGLED GLIDEWIRE ,EACH,138
.025X145CM 5MM RAD TIP DEFL WI ,EACH,158
.025X80CM 5MM RADIUS TIP DEFL ,EACH,158
.032 X145 3 BH WIRE ,EACH,40
.032 X180CM J WIRE (AES) ,EACH,80
.035 X 260CM AMPLATZ SS STR WI ,EACH,148
.035 X 260CM ANGLED GLIDEWIRE ,EACH,158.00
.035 X 260CM J EXCH WIRE ,EACH,50
.035 X 260CM J EXCH WIRE (AES) ,EACH,90
.035 X 300CM AMPL GUIDE WIRE ,EACH,153
.035 X 300CM AMPL NOODLE WIRE ,EACH,153
.035 X135CM QUICK CROSS CATH ,EACH,510
.035 X145CM 10MM RAD TIP DEFL ,EACH,184.00
.035 X145CM ST SUPER STIFF WIR ,EACH,100
.035 X175CM WHOLEY HTF WIRE ,EACH,315
.035 X180CM ANGLED GLIDEWIRE ,EACH,138
.035X145CM 5MM RADIUS TIP DEFL ,EACH,158
.035X150CM ANG GLIDEWIRE ,EACH,90
.035X260CM AMPLATZ SS STRAI ,EACH,148
.035X260CM STR EXCH WIRE (AES- ,EACH,245
.035X300CM LUNDERQ XTRA STIFF ,EACH,275
.035X300CM SUPRACORE 35 WIRE ,EACH,255
.038X 260CM J EXCH WIRE ,EACH,105.00
.038X 260CM J EXCH WIRE (AES) ,EACH,105.00
.038X 3CMX 3MM EMB COIL ,EACH,235
.038X 3CMX 4MM EMB COIL ,EACH,224
.038X 4CMX 3MM EMB COIL ,EACH,148.00
.038X 6CMX 4MM EMB COIL ,EACH,148.00
.038X 6CMX5MM EMB COIL ,EACH,148.00
.038X 8CMX 6MM EMB COIL ,EACH,235
.038X 8CMX 8MM EMB COIL ,EACH,224
.038X 8CMX15MM EMB COIL ,EACH,138
.038X10CMX12MM EMB COIL ,EACH,255
.038X12CMX10MM EMB COIL ,EACH,255
.038X145CM J WIRE ,EACH,40
.038X145CM J WIRE HEAVY DUTY ,EACH,40
.038X145CM WIRE ,EACH,60
.038X15CMX15MM EMB COIL ,EACH,179
.038X3CMX2MM EMB COIL ,EACH,255
.038X5CMX12MM EMB COIL ,EACH,179.00
.038X5CMX15MM EMB COIL ,EACH,173
.052X 8CMX 6MM EMB COIL ,EACH,179.00
.052X 8CMX 8MM EMB COIL ,EACH,173
.052X10CMX 8MM EMB COIL ,EACH,163
.052X12CMX10MM EMB COIL ,EACH,245
.052X15CMX10MM EMB COIL ,EACH,179
0.010X205CM TRANSEND GUIDEWIRE ,EACH,1188
0.014X175CM DOPPLER GUIDEWIRE ,EACH,1585
0.018 X 200CM HT FLEX-T WIRE ,EACH,275
0.018 X 40CM TORQ-FLEX WIRE (A ,EACH,80
0.018 X145CM HI-TORQUE FLEX-T ,EACH,275
0.021 X145CM J WIRE ,EACH,50
0.025 X 260CM 1.5 J (ROSEN) EX ,EACH,50
0.025 X 260CM J EXCH WIRE ,EACH,60.00
0.025 X 260CM STR EXCH WIRE ,EACH,50.00
0.025 X145CM J WIRE ,EACH,40
0.035 X 260 J 1.5 ROSEN WIRE ,EACH,50
0.035 X 260 J WIRE ,EACH,40
0.035 X 260CM STR EXCH WIRE ,EACH,50
0.035 X115CM LOC WIRE EXT ,EACH,179
0.035 X145CM WHOLEY HT STAND W ,EACH,40
0.035 X150 J WIRE ,EACH,50.00
0.035 X150 STR WIRE ,EACH,50
0.035 X180CM J 1.5 ROSEN WIRE ,EACH,40
0.035X180CM STORQ STAND WIRE ,EACH,184
0.035X300CM STORQ STAND WIRE ,EACH,245
025-260CM ANGLED GLIDEWIRE ,EACH,163
10.038 75CM HAUSDORF CHECK-FLO ,EACH,315
10.038 75CM MULLINS INTRO SET ,EACH,255
10.038 80CM FLEX CHECK-FLO INT ,EACH,275
10.038 85 CM RBMTS CHECK FLO PERF ,EACH,340
10CC BLUE SYRINGE ,EACH,30
10CC RED SYRINGE ,EACH,30
10F 45CM FLEX SHEATH ,EACH,235
10F 80CM ARROW FLEX SHEATH ,EACH,315
10F INTRO 10CM ,EACH,30
10F SL1 INTRO ,EACH,1010
10FR PED ASHSPLIT CATH ,EACH,1489
10MM VOICE PROSTHESIS ,EACH,760.00
10MMX20MMX80CM STER OTW BALL ,EACH,825.00
10MMX2CM TYSHAK BALL ,EACH,"1,385.00"
10MMX2CM TYSHAK II BALL ,EACH,"1,438.00"
10MMX2CM Z-II BALL ,EACH,938
10MMX30MMX80CM STER OTW BALL ,EACH,825
10MMX3CM TYSHAK BALL ,EACH,"1,090.00"
10MMX3CM TYSHAK II BALL ,EACH,"1,438.00"
10MMX3CM Z-MED BALL ,EACH,938
10MMX40MMX80CM STER OTW BALL ,EACH,825
10MMX4CM TYSHAK BALL ,EACH,"1,090.00"
11.038 75CM MULLINS TRANS SHEA ,EACH,245
11F 65CM FLEX SHEATH ,EACH,265
11F INTRO 10CM ,EACH,70
11F X15CM BREVIA DBL LUM HEMOD ,EACH,320
12.038 13CM J CHECK-FLO II INT ,EACH,153
12.038 30CM J CHECK-FLO II INT ,EACH,204
12.038 75CM HAUSDORF CHECK-FLO ,EACH,335
12.038 75CM MULLINS TRANS SHEA ,EACH,285
12.038 85CM CHECK FLO PERFORMER ,EACH,340
12.038 DILATOR ,EACH,70
12.5MM VOICE PROSTHESIS ,EACH,780
12-20CM ATRIEVE SNARE SYSTEM ,EACH,1040
12-20CM SNARE SYSTEM ,EACH,"1,025.00"
12CC CONTROL SYRINGE ,EACH,30
12F FAST-CATH TRIO INTRO ,EACH,90
12F X16CM DBLE LUM HEMODIAL CA ,EACH,179
12FR BILIARY CATH ,EACH,265.00
12FR NEPHROSTOMY CATH ,EACH,265.00
12FT DISP SAFETY CABLE ,EACH,194
12MMX2CM TYSHAK BALL ,EACH,"1,438.00"
12MMX2CM TYSHAK II BALL ,EACH,"1,438.00"
12MMX2CMX120CM ATLAS PTA BALL ,EACH,885.00
12MMX3CM TYSHAK BALL ,EACH,"1,438.00"
12MMX3CM TYSHAK II BALL ,EACH,"1,385.00"
12MMX3CM Z-II BALL ,EACH,"1,600.00"
12MMX4CM TYSHAK II BALL ,EACH,"1,438.00"
12MMX4CM Z-II BALL ,EACH,1540
12MMX4CM Z-MED BALL ,EACH,1285
12MMX6CM Z-II BALL ,EACH,1600
13.5X1.35CM SEPTOSTOMY BALL ,EACH,795.00
14.038 13CM J CHECK FLO II INTRO SET ,EACH,158
14.038 30CM J CHECK-FLO II INT ,EACH,209.00
14.038 75CM MULLINS TRANS SHEA ,EACH,285
14.038 80CM CHECK-FLO PERFORMER ,EACH,535
145CM PROTRACK MICROCATH ,EACH,"2,005.00"
14F .038 DILATOR 15CM ,EACH,70
14FR APD ,EACH,285
14MMX2CMX120CM ATLAS PTA BALL ,EACH,885.00
14MMX3CM TYSHAK II BALL ,EACH,"1,438.00"
14MMX3CM Z-II BALL ,EACH,"1,600.00"
14MMX4CM TYSHAK II BALL ,EACH,"1,438.00"
14MMX4CM Z-II BALL ,EACH,1590
14MMX4CMX120CMXXL BALL ,EACH,949
14MMX6CM Z-II BALL ,EACH,1635
150CM RENEGADE HIFLO MICROCATH ,EACH,2474
15CM SCHON XL DIALYSIS CATH ,EACH,335
15MMX2CM TYSHAK BALL ,EACH,"1,090.00"
15MMX3CM TYSHAK BALL ,EACH,"1,090.00"
15MMX3CM TYSHAK II BALL ,EACH,1489
15MMX3CM Z-II BALL ,EACH,1600
15MMX3CM Z-MED BALL ,EACH,"1,438.00"
15MMX4CM TYSHAK BALL ,EACH,"1,345.00"
15MMX4CM TYSHAK II BALL ,EACH,"1,438.00"
15MMX4CM Z-II BALL ,EACH,1600
15MMX6CM Z-II BALL ,EACH,1590
16.038 30CM CHECK FLO PERFORMER ,EACH,345
16F FOLEY COUDE TIP CATHETER ,EACH,40.00
16MMX2CMX120CM ATLAS PTA BALL ,EACH,"1,005.00"
16MMX3CM Z-MED BALL ,EACH,1285
16MMX4CM TYSHAK II BALL ,EACH,"1,550.00"
16MMX4CM Z-II BALL ,EACH,1590
16MMX4CMX75CMXXL BALL ,EACH,830.00
16MMX6CM Z-II BALL ,EACH,1600
"17G X 4.5 ENCAPSULON EPI NEED """,EACH,70
17-HYDROXYPREGNENOLONE SERUM ,EACH,68
18 ANGLED GUIDEWIRE ,EACH,189
18 STRAIGHT GLIDE-5/B ,EACH,105
18 STRAIGHT GUIDEWIRE ,EACH,70
18.0-38-30-VAD5 SHEATH ,EACH,194
18-302 RENEG HI-FLO MICROCATH ,EACH,1100
18-30CM ATRIEVE SNARE SYSTEM ,EACH,1865
18-30CM SNARE SYSTEM ,EACH,1025
18FR DILATOR ,EACH,40
18GA 10CM BLUNT NEEDLE ,EACH,80
18GA 15CM BLUNT NEEDLE ,EACH,80
18GA 89CM BRK BROCK NEEDLE ,EACH,770
18GA FLASHBACK NEEDLE ,EACH,30
18GA X 2.5CM ENTRY NEEDLE ,EACH,40.00
18GA X 4CM ENTRY NEEDLE ,EACH,30.00
18GA X 71CM BROCK NEEDLE ,EACH,275
18MMX2CMX120CM ATLAS PTA BALL ,EACH,"1,005.00"
18MMX3CM TYSHAK BALL ,EACH,"1,090.00"
18MMX3CM TYSHAK II BALL ,EACH,1438
18MMX4CM TYSHAK II BALL ,EACH,1550
18MMX4CM Z-II BALL ,EACH,"1,590.00"
18MMX5CM TYSHAK II BALL ,EACH,1385
18MMX6CM Z-II BALL ,EACH,1590
18MMX6CMX75CMXXL BALL ,EACH,"1,030.00"
19GA 56CM BROCK NEEDLE ,EACH,275
1P19Q DELETION BY FISH ,EACH,491
"2 ELASTIC BANDAGE """,EACH,12.00
"2 ELASTIC BANDAGE """,EACH,12.00
2.0MMX20MM STER ES OTW BALL ,EACH,825
2.5MMX20MM STER ES OTW BALL ,EACH,825
2.6X130CM FINECROSS MICRO CATH ,EACH,1600
2.6X150CM FINECROSS MICRO CATH ,EACH,1600
2.8X110CM PROGR MICROCATH W/MA ,EACH,1045
2.8X130CM PROGR MICROCATH W/MA ,EACH,1045
20CM SCHON XL DIALYSIS CATH ,EACH,335
20FR DILATOR ,EACH,70
20MMX2CMX120CM ATLAS PTA BALL ,EACH,"1,005.00"
20MMX4CM TYSHAK II BALL ,EACH,1550
20MMX4CM Z-II BALL ,EACH,1590
20MMX4CM Z-MED BALL ,EACH,1285
20MMX5CM TYSHAK II BALL ,EACH,1510
20MMX6CM Z-II BALL ,EACH,"1,635.00"
21 GA NEEDLE ,EACH,30
21/45/21 CANNULA ,EACH,MarkUp
21GA SHARP NEEDLE ,EACH,30
21GA X 2.5CM ENTRY NEEDLE ,EACH,30
21GA X 4CM ENTRY NEEDLE ,EACH,30.00
22.038 DILATOR (COONS) ,EACH,40
22.0-38 PEELAWAY SHEATH ,EACH,115
22FR DILATOR ,EACH,33.00
22G CHIBA NEEDLE ,EACH,50
22GAX10CM CHIBA BIOPSY NEEDLE ,EACH,60
22MMX2CMX75CM ATLAS PTA BALL ,EACH,"1,355.00"
22MMX4CM TYSHAK II BALL ,EACH,1510
22MMX4CM Z-II BALL ,EACH,1433
22MMX5CM TYSHAK II BALL ,EACH,1510
22MMX6CM Z-II BALL ,EACH,1590
2301-0378-03 GEL ,EACH,20
23MMX4CM TYSHAK II BALL ,EACH,1510
23MMX5CM TYSHAK II BALL ,EACH,1510
23MMX6CM Z-II BALL ,EACH,"1,590.00"
24.0-38 SHEATH ,EACH,115
24MM SIZING BALL ,EACH,909.00
24X24 POLYESTER NETTED DRESSING ,EACH,90
25 ANGLED GUIDEWIRE ,EACH,138
25-15 CURVE NEEDLE ,EACH,148
25MMX 4CMTYSHAK BALL ,EACH,"1,090.00"
25MMX4CM TYSHAK II BALL ,EACH,1510
25MMX4CM Z-MED BALL ,EACH,1285
25MMX5CM TYSHAK II BALL ,EACH,"1,385.00"
25MMX5CM Z-II BALLOON ,EACH,1590
25MMX6CM Z-II BALL ,EACH,1550
265CM RFA WIRE-NUKANEN ,EACH,"4,180.00"
26MMX3CM Z-MED BALL ,EACH,1830
26MMX4CM Z-MED BALL ,EACH,1830
2D ECHOCARDIOGRAM ,EACH,435
2F BASIC PICC TRAY SNGL LUMEN ,EACH,224
2MMX4CM TYSHAK BALL ,EACH,"1,345.00"
2X1 COIL GDC 10-US ,EACH,3473
"3 ELASTIC BANDAGE """,EACH,20.00
"3 ELASTIC BANDAGE """,EACH,20.00
3% NACL PEDS BOLUS ANESTHESIA UF [404462],500 mL,35.10
3.018 6CM CHECK-FLO INTRO SET ,EACH,60.00
3.0MM SPIDER EMBOLIC PROT DEV ,EACH,3335
3.0MMX20MM STER ES OTW BALL ,EACH,825
3.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
3.5MMX20MM STER ES OTW BALL ,EACH,825
3.5MMX2CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
3/18 PIGTAIL CATH ,EACH,80.00
300-500 EMBOSPH 2ML ,EACH,825
34CC INTRA AORTIC BALLON ,EACH,2160
34MM SIZING BALL ,EACH,885
35 EXCH GUIDEWIRE ,EACH,50
35 GUIDEWIRE ,EACH,70
35 ROSEN EXCH GUIDEWIRE ,EACH,50
35 ROSEN GUIDEWIRE ,EACH,33
3D COIL 2-3MM ,EACH,4010
3D COIL 4-10MM ,EACH,4490
3D DETACH COIL 7-16MM ,EACH,3203
3D ON INDEPENDENT WRKST ,EACH,"1,200.00"
3D RENDERING INDEP WORKSTATION ,EACH,1165
3D RENDERING SAME WORKSTATION ,EACH,1165
3F 120CM BIOPSY FORCEP ,EACH,1219
3F 120CM VASC RETRIEVAL FORCEP ,EACH,1428
3F 175CM 7MM LOOP MICROSNARE K ,EACH,1840
3F 60CM BIOPSY FORCEP ,EACH,1219
3F 60CM VASC RETRIEVAL FORCEPS ,EACH,1454
3F SGL PASV PICC ,EACH,510
3FR PED CARIDI CATH ,EACH,50.00
3FR PED OMNI FLUSH ,EACH,MarkUp
3FR SGL PICC TRAY ,EACH,199
3FT ADAPTER CABLE 6-9 POLE ,EACH,724
"4 ELASTIC BANDAGE """,EACH,30
"4 ELASTIC BANDAGE """,EACH,30
4.0-18-30.0-MPIS CATH ,EACH,60
4.021 5CM PERFORMER INTRO SET ,EACH,60
4.021 7.5CM INTRO ,EACH,115
4.025 45CM PERF CHB SHEATH ,EACH,173
4.025 75CM PERF CHB SHEATH ,EACH,173
4.035 11CM INTRO ,EACH,80
4.0G-18-10.0-MPIS DILATOR ,EACH,60
4.0MM SPIDER EMBOLIC PROT DEV ,EACH,3335
4.0MMX1CM TYSHAK BALL ,EACH,"1,090.00"
4.0MMX20MMX80CM STER ES OTW BA ,EACH,825
4.0MMX2CM TYSHAK II BALL ,EACH,1438
4.0MMX2CM TYSHAK MINI BALL ,EACH,"1,438.00"
4.0MMX2CMX80CM MINI GHOST BALL ,EACH,1163
4.0MMX30MMX80CM STER ES OTW BA ,EACH,825
4.0MMX3CMX80CM MINI GHOST BALL ,EACH,1163
4.0MMX40MMX80CM STER ES OTW BA ,EACH,825
4.0MMX4CMX80CM MINI GHOST BALL ,EACH,1163
4.1-80CM JL1 CATHETER ,EACH,80
4.1-80CM JL1.5 CATHETER ,EACH,50
4.1-80CM JL2 CATHETER ,EACH,50
4.2F 71CM SGL LUMEN BROV INTRO ,EACH,575
4.5MM VOICE PROSTHESIS ,EACH,760.00
4.5MMX2CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
4.5MMX4CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
4/100 VERTEBRAL CATH ,EACH,40
4/65 BERENSTEIN COIL ,EACH,40.00
4/65 OMNI FLUSH CATH ,EACH,40.00
4/65 PIGTAIL CATH ,EACH,40.00
4/90 OMNIFLUSH CATH ,EACH,40
40CC INTRA AORTIC BALLON ,EACH,2160
4-100 C2 GLIDECATH CATHETER ,EACH,163
4-100 GLIDECATH ANGLED TAPER ,EACH,158
4-100 GLIDECATH STR CATHETER ,EACH,158
4-110CM PACEL BIP PACING CATH ,EACH,224
4-120 GLIDECATH STR CATHETER ,EACH,158
4-150 GLIDECATH NONTAPER ANGL ,EACH,163.00
4-150 GLIDECATH STRAIGHT ,EACH,163
4-35 DILATOR ,EACH,40
4-65 C1 GLIDECATH CATHETER ,EACH,158
4-65 CB1 CATHETER ,EACH,40
4-65 GLIDECATH CATH (NO TAPER) ,EACH,158
4-70 JL 3.0 PERFORMA ,EACH,60
4-70CM HIGH FLOW PIGTAIL ,EACH,70
"48 CONTRAST INJECTION LINE """,EACH,40
4-8CM ATRIEVE SNARE SYSTEM ,EACH,1865
4F 50CM BERMAN CATHETER ,EACH,194.00
4F 5CM CENTRAL VENOUS CATH TRAY ,EACH,285
4F 5MM SUPREME CRD CURVE ,EACH,365.00
4F 5MM SUPREME JSN CURVE ,EACH,365
4F DECAPOLAR LARGE CURL INQUIR ,EACH,"1,459.00"
4F MICRO INTRO KIT ,EACH,90.00
4F MICRO INTRO KIT STIFF ,EACH,110
4F MICRO INTRO KIT W/NITINOL W ,EACH,90.00
4F MICRO STIFF PEDIATRIC INTRO ,EACH,70
4F MULTI INFINITI CATH (CRV PI ,EACH,153.00
4F MULTI INFINITI CATH (STR PI ,EACH,115
4FR DUAL CATH PICC TRAY ,EACH,265
4FR MICRO ACCESS PLAT ,EACH,69
4FR PIGTAIL CATH ,EACH,40
4FR SGL PICC TRAY ,EACH,224
4FR SINGLE PASV ,EACH,275
4FRX135X5 INFUSE CATH ,EACH,245.00
5 FR PIG-CSC-20 CATHETER ,EACH,428
5.018 10CM MICRO SET W/NITI WI ,EACH,70
5.021 5CM PERFORMER INTRO SET ,EACH,50
5.032 48CM CHECK-FLO PERFORMER INTRO ,EACH,214
5.035 45CM PERFORMER INTRO SET ,EACH,90
5.035 63CM CHECK FLO PERF INTR ,EACH,168
5.038 5.5CM INTRO ,EACH,115
5.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,335.00"
5.0MMX20MMX80CM STER ES OTW BA ,EACH,825
5.0MMX2CM TYSHAK II BALL ,EACH,"1,438.00"
5.0MMX2CM TYSHAK MINI BALL ,EACH,"1,438.00"
5.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,204.00"
5.0MMX30MMX80CM STER ES OTW BA ,EACH,825
5.0MMX3CM TYSHAK II BALL ,EACH,1438
5.0MMX3CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
5.0MMX40MMX80CM STER ES OTW BA ,EACH,825
5.0MMX4CMX80CM MINI GHOST BALL ,EACH,"1,130.00"
5.2F 60CM BIOPSY FORCEP ,EACH,1100
5.5-7 SHEATH ,EACH,90
5.5MMX2CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
5.5MMX4CMX80CM MINI GHOST BALL ,EACH,1130
5/100 JB2 CATH ,EACH,40
5/100 VERTEBRAL CATH ,EACH,40.00
5/35 DILATOR ,EACH,60
5/65 BERENSTEIN COIL ,EACH,40
5/80 SOS OMNI 2 CATH ,EACH,40.00
500-700 EMBOSPH 2ML ,EACH,810
50CC INTRA AORTIC BALLON ,EACH,2160
50CM MILLER SEPTOSTOMY BALL ,EACH,959
5-100 ANGLED GLIDECATH XP CATH ,EACH,163
5-100 BER GLIDECATH ANG TAPER ,EACH,158
5-100 GLIDECATH STR CATH ,EACH,163
5-100 MPA CONVEY GUIDE ,EACH,168
5-100 MULTIPURPOSE ,EACH,163
5-100 SIM 2 (S2) GLIDECATH XP ,EACH,163
5-100 STR GLIDECATH XP CATH ,EACH,163
5-100CM OMNI FLUSH CATHETER ,EACH,40
5-100CM VTK CATHETER ,EACH,40
5-125CM VTK CATHETER ,EACH,138
5-50 RASHKIND SEPTOSTOMY BALL ,EACH,360
5-65 AO VESSEL SIZING CATHETER ,EACH,80.00
5-75CM CS IMPRESS CATH ,EACH,305
5-80CM GOODALE-LUBIN CATHETER ,EACH,163
5F 20CM PERICARD (CUSTOM) SET ,EACH,345
5F 20CM PERICARD TRAY ,EACH,370
5F 50CM BERMAN CATHETER ,EACH,184
5F 80CM REVERSE BERMAN ,EACH,214
5F J-TIP PACING SWAN ,EACH,184
5F MICRO INTODUCER KIT STIFF ,EACH,110.00
5F MICRO INTRO KIT ,EACH,90.00
5F PACING SWAN ,EACH,179
5F QUAD JSN SUPREME CATHETER ,EACH,320
5F RAD GLIDESHEATH HYDOPHIL ,EACH,173
5F SIZING OMNI FLUSH ,EACH,479
5F TD SWAN ,EACH,673
5FR 65CM PIGTAIL CATH ,EACH,40
5FR 90CM PIGTAIL CATH ,EACH,40.00
5FR DUAL CATH TRAY ,EACH,383
5FR DUAL CATH TRAY PASV ,EACH,403
5FR MULT C GUIDE CATH ,EACH,964
5FR PICC LINE CATH ,EACH,199
5-HIAA ,EACH,39.00
5X12 GENESIS STENT ,EACH,3620
5X15 GENESIS STENT ,EACH,3620
"6 ELASTIC BANDAGE """,EACH,30.00
"6 ELASTIC BANDAGE """,EACH,30
6.032 CHECK-FLO PERFORMER INTRO ,EACH,168.00
6.0-35-40-BLKN SHEATH ,EACH,275
6.038 45CM DEST RENAL ST SHEAT ,EACH,335
6.038 45CM FLEXOR INTRO SET ,EACH,148.00
6.038 55CM FLEXOR RAABE SHEATH ,EACH,173
6.038 70CM FLEXOR RAABE SHEATH ,EACH,173
6.038 90CM DEST CAROTID ST SHE ,EACH,315
6.038 90CM SHUTTLE SHEATH ,EACH,383
6.0-38-30-VAD5 SHEATH ,EACH,189
6.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,435.00"
6.0MMX20MMX80CM STER OTW BALL ,EACH,825.00
6.0MMX2CM TYSHAK II BALL ,EACH,1438
6.0MMX2CM TYSHAK MINI BALL ,EACH,1438
6.0MMX2CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
6.0MMX30MMX80CM STER OTW BALL ,EACH,825
6.0MMX3CM TYSHAK BALL ,EACH,"1,510.00"
6.0MMX3CMX80CM MINI GHOST BALL ,EACH,"1,163.00"
6.0MMX40MMX80CM STER OTW BALL ,EACH,825
6.0MMX4CMX80CM MINI GHOST BALL ,EACH,1163
6/10 SHEATH ,EACH,40
6/90 ME GUIDE CATH ,EACH,1520
6-100 3DRC GUIDE ,EACH,184
6-100 3DRC SH GUIDE ,EACH,184
6-100 MULTIPACK CATHETER ,EACH,80.00
6-100CM FA (FELDMAN AS) CATHET ,EACH,50
6-100CM FA2 (FELDMAN AS) CATH ,EACH,50
6-10MM/120CM SNARE ,EACH,1100
6-110CM DUAL LUMEN PIGTAIL ,EACH,365
6-110CM PACEL BIP PACING CATH ,EACH,285
6-125 FL7 CATHETER ,EACH,70
6-125 MPA2 CATHETER ,EACH,70
6-145CM EXPORT CATHETER (.014) ,EACH,1585
635001 DCS SYRINGE ,EACH,570
6F 110CM WEDGE DOUBLE-LUMEN ,EACH,173
6F 24CM ARROW FLEX SHEATH ,EACH,80
6F 60CM BERMAN CATHETER ,EACH,194
6F 90CM BERMAN CATHETER ,EACH,194
6F ANGIOSEAL VIP ,EACH,755.00
6F DECAPOLAR CRD RESPONSE ,EACH,500
6F DECAPOLAR JSN RESPONSE ,EACH,500
6F EXPRSWY RX EXTRACT CATHETER ,EACH,1355
6F INTRO 10CM ,EACH,70
6F LIVEWIRE SWEEP DECAPOLAR ,EACH,1270
6F LRG CURVE 6F/4MM TIP ABL ,EACH,2468
6F QUAD JSN CATHETER ,EACH,320
6F RAD GLIDESHEATH HYDOPHIL SH ,EACH,173
6F STAND CURVE 6F/4MM TIP ABL ,EACH,2335
6F VAD2 CATH ,EACH,50
6FR 90CM GUIDING CATH ,EACH,355.00
6FR DILATOR ,EACH,60.00
6FR HOCKEY GUIDE CATH ,EACH,275
6MM VOICE PROSTHESIS ,EACH,760
6MMX18MM EXPRESS STENT NON-COA ,EACH,3680
6MMX4CM POWERFLEX P3 BALL ,EACH,315
6MMX4CMX75CM CONQ PTA BALL ,EACH,653.00
6X12 GENESIS STENT ,EACH,MarkUp
6X15 GENESIS STENT ,EACH,MarkUp
7.0 X 12 GENESIS STENT ,EACH,MarkUp
7.0 X 15 GENESIS STENT ,EACH,MarkUp
7.038 45CM DEST RENAL ST SHEAT ,EACH,315
7.038 45CM PERF MBFI SHEATH ,EACH,128.00
7.038 55CM FLEXOR RAABE SHEATH ,EACH,173
7.038 90CM DEST CAROTID ST SHE ,EACH,315
7.038 90CM SHUTTLE SHEATH ,EACH,383
7.038 FLEX CHECK FLO INTRO 70C ,EACH,173
7.0MM SPIDER EMBOLIC PROT DEV ,EACH,"3,435.00"
7.0MMX20MMX80CM STER OTW BALL ,EACH,825
7.0MMX2CM TYSHAK II BALL ,EACH,"1,385.00"
7.0MMX2CM Z-MED BALL ,EACH,1285
7.0MMX30MMX80CM STER OTW BALL ,EACH,825
7.0MMX3CM TYSHAK II BALL ,EACH,"1,510.00"
7.0MMX3CM TYSHAK MINI BALL ,EACH,"1,438.00"
7.0MMX40MMX80CM STER OTW BALL ,EACH,825
