price,description,charge_type
224,.038X 3CMX 4MM EMB COIL ,standard
148.00,.038X 4CMX 3MM EMB COIL ,standard
148.00,.038X 6CMX 4MM EMB COIL ,standard
148.00,.038X 6CMX5MM EMB COIL ,standard
235,.038X 8CMX 6MM EMB COIL ,standard
224,.038X 8CMX 8MM EMB COIL ,standard
138,.038X 8CMX15MM EMB COIL ,standard
255,.038X10CMX12MM EMB COIL ,standard
255,.038X12CMX10MM EMB COIL ,standard
40,.038X145CM J WIRE ,standard
40,.038X145CM J WIRE HEAVY DUTY ,standard
60,.038X145CM WIRE ,standard
179,.038X15CMX15MM EMB COIL ,standard
255,.038X3CMX2MM EMB COIL ,standard
179.00,.038X5CMX12MM EMB COIL ,standard
173,.038X5CMX15MM EMB COIL ,standard
179.00,.052X 8CMX 6MM EMB COIL ,standard
173,.052X 8CMX 8MM EMB COIL ,standard
163,.052X10CMX 8MM EMB COIL ,standard
245,.052X12CMX10MM EMB COIL ,standard
179,.052X15CMX10MM EMB COIL ,standard
1188,0.010X205CM TRANSEND GUIDEWIRE ,standard
1585,0.014X175CM DOPPLER GUIDEWIRE ,standard
275,0.018 X 200CM HT FLEX-T WIRE ,standard
80,0.018 X 40CM TORQ-FLEX WIRE (A ,standard
275,0.018 X145CM HI-TORQUE FLEX-T ,standard
50,0.021 X145CM J WIRE ,standard
50,0.025 X 260CM 1.5 J (ROSEN) EX ,standard
60.00,0.025 X 260CM J EXCH WIRE ,standard
50.00,0.025 X 260CM STR EXCH WIRE ,standard
40,0.025 X145CM J WIRE ,standard
50,0.035 X 260 J 1.5 ROSEN WIRE ,standard
40,0.035 X 260 J WIRE ,standard
50,0.035 X 260CM STR EXCH WIRE ,standard
179,0.035 X115CM LOC WIRE EXT ,standard
40,0.035 X145CM WHOLEY HT STAND W ,standard
50.00,0.035 X150 J WIRE ,standard
50,0.035 X150 STR WIRE ,standard
40,0.035 X180CM J 1.5 ROSEN WIRE ,standard
184,0.035X180CM STORQ STAND WIRE ,standard
245,0.035X300CM STORQ STAND WIRE ,standard
163,025-260CM ANGLED GLIDEWIRE ,standard
315,10.038 75CM HAUSDORF CHECK-FLO ,standard
255,10.038 75CM MULLINS INTRO SET ,standard
275,10.038 80CM FLEX CHECK-FLO INT ,standard
340,10.038 85 CM RBMTS CHECK FLO PERF ,standard
30,10CC BLUE SYRINGE ,standard
30,10CC RED SYRINGE ,standard
235,10F 45CM FLEX SHEATH ,standard
315,10F 80CM ARROW FLEX SHEATH ,standard
30,10F INTRO 10CM ,standard
1010,10F SL1 INTRO ,standard
1489,10FR PED ASHSPLIT CATH ,standard
760.00,10MM VOICE PROSTHESIS ,standard
825.00,10MMX20MMX80CM STER OTW BALL ,standard
"1,385.00",10MMX2CM TYSHAK BALL ,standard
"1,438.00",10MMX2CM TYSHAK II BALL ,standard
938,10MMX2CM Z-II BALL ,standard
825,10MMX30MMX80CM STER OTW BALL ,standard
"1,090.00",10MMX3CM TYSHAK BALL ,standard
"1,438.00",10MMX3CM TYSHAK II BALL ,standard
938,10MMX3CM Z-MED BALL ,standard
825,10MMX40MMX80CM STER OTW BALL ,standard
"1,090.00",10MMX4CM TYSHAK BALL ,standard
245,11.038 75CM MULLINS TRANS SHEA ,standard
265,11F 65CM FLEX SHEATH ,standard
70,11F INTRO 10CM ,standard
320,11F X15CM BREVIA DBL LUM HEMOD ,standard
153,12.038 13CM J CHECK-FLO II INT ,standard
204,12.038 30CM J CHECK-FLO II INT ,standard
335,12.038 75CM HAUSDORF CHECK-FLO ,standard
285,12.038 75CM MULLINS TRANS SHEA ,standard
340,12.038 85CM CHECK FLO PERFORMER ,standard
70,12.038 DILATOR ,standard
780,12.5MM VOICE PROSTHESIS ,standard
1040,12-20CM ATRIEVE SNARE SYSTEM ,standard
"1,025.00",12-20CM SNARE SYSTEM ,standard
30,12CC CONTROL SYRINGE ,standard
90,12F FAST-CATH TRIO INTRO ,standard
179,12F X16CM DBLE LUM HEMODIAL CA ,standard
265.00,12FR BILIARY CATH ,standard
265.00,12FR NEPHROSTOMY CATH ,standard
194,12FT DISP SAFETY CABLE ,standard
"1,438.00",12MMX2CM TYSHAK BALL ,standard
"1,438.00",12MMX2CM TYSHAK II BALL ,standard
885.00,12MMX2CMX120CM ATLAS PTA BALL ,standard
"1,438.00",12MMX3CM TYSHAK BALL ,standard
"1,385.00",12MMX3CM TYSHAK II BALL ,standard
"1,600.00",12MMX3CM Z-II BALL ,standard
"1,438.00",12MMX4CM TYSHAK II BALL ,standard
1540,12MMX4CM Z-II BALL ,standard
1285,12MMX4CM Z-MED BALL ,standard
1600,12MMX6CM Z-II BALL ,standard
795.00,13.5X1.35CM SEPTOSTOMY BALL ,standard
158,14.038 13CM J CHECK FLO II INTRO SET ,standard
209.00,14.038 30CM J CHECK-FLO II INT ,standard
285,14.038 75CM MULLINS TRANS SHEA ,standard
535,14.038 80CM CHECK-FLO PERFORMER ,standard
"2,005.00",145CM PROTRACK MICROCATH ,standard
70,14F .038 DILATOR 15CM ,standard
285,14FR APD ,standard
885.00,14MMX2CMX120CM ATLAS PTA BALL ,standard
"1,438.00",14MMX3CM TYSHAK II BALL ,standard
"1,600.00",14MMX3CM Z-II BALL ,standard
"1,438.00",14MMX4CM TYSHAK II BALL ,standard
1590,14MMX4CM Z-II BALL ,standard
949,14MMX4CMX120CMXXL BALL ,standard
1635,14MMX6CM Z-II BALL ,standard
2474,150CM RENEGADE HIFLO MICROCATH ,standard
335,15CM SCHON XL DIALYSIS CATH ,standard
"1,090.00",15MMX2CM TYSHAK BALL ,standard
"1,090.00",15MMX3CM TYSHAK BALL ,standard
1489,15MMX3CM TYSHAK II BALL ,standard
1600,15MMX3CM Z-II BALL ,standard
"1,438.00",15MMX3CM Z-MED BALL ,standard
"1,345.00",15MMX4CM TYSHAK BALL ,standard
"1,438.00",15MMX4CM TYSHAK II BALL ,standard
1600,15MMX4CM Z-II BALL ,standard
1590,15MMX6CM Z-II BALL ,standard
345,16.038 30CM CHECK FLO PERFORMER ,standard
40.00,16F FOLEY COUDE TIP CATHETER ,standard
"1,005.00",16MMX2CMX120CM ATLAS PTA BALL ,standard
1285,16MMX3CM Z-MED BALL ,standard
"1,550.00",16MMX4CM TYSHAK II BALL ,standard
1590,16MMX4CM Z-II BALL ,standard
830.00,16MMX4CMX75CMXXL BALL ,standard
1600,16MMX6CM Z-II BALL ,standard
70,"17G X 4.5 ENCAPSULON EPI NEED """,standard
68,17-HYDROXYPREGNENOLONE SERUM ,standard
189,18 ANGLED GUIDEWIRE ,standard
105,18 STRAIGHT GLIDE-5/B ,standard
70,18 STRAIGHT GUIDEWIRE ,standard
194,18.0-38-30-VAD5 SHEATH ,standard
1100,18-302 RENEG HI-FLO MICROCATH ,standard
1865,18-30CM ATRIEVE SNARE SYSTEM ,standard
1025,18-30CM SNARE SYSTEM ,standard
40,18FR DILATOR ,standard
80,18GA 10CM BLUNT NEEDLE ,standard
80,18GA 15CM BLUNT NEEDLE ,standard
770,18GA 89CM BRK BROCK NEEDLE ,standard
30,18GA FLASHBACK NEEDLE ,standard
40.00,18GA X 2.5CM ENTRY NEEDLE ,standard
30.00,18GA X 4CM ENTRY NEEDLE ,standard
275,18GA X 71CM BROCK NEEDLE ,standard
"1,005.00",18MMX2CMX120CM ATLAS PTA BALL ,standard
"1,090.00",18MMX3CM TYSHAK BALL ,standard
1438,18MMX3CM TYSHAK II BALL ,standard
1550,18MMX4CM TYSHAK II BALL ,standard
"1,590.00",18MMX4CM Z-II BALL ,standard
1385,18MMX5CM TYSHAK II BALL ,standard
1590,18MMX6CM Z-II BALL ,standard
"1,030.00",18MMX6CMX75CMXXL BALL ,standard
275,19GA 56CM BROCK NEEDLE ,standard
491,1P19Q DELETION BY FISH ,standard
12.00,"2 ELASTIC BANDAGE """,standard
12.00,"2 ELASTIC BANDAGE """,standard
825,2.0MMX20MM STER ES OTW BALL ,standard
825,2.5MMX20MM STER ES OTW BALL ,standard
1600,2.6X130CM FINECROSS MICRO CATH ,standard
1600,2.6X150CM FINECROSS MICRO CATH ,standard
1045,2.8X110CM PROGR MICROCATH W/MA ,standard
1045,2.8X130CM PROGR MICROCATH W/MA ,standard
335,20CM SCHON XL DIALYSIS CATH ,standard
70,20FR DILATOR ,standard
"1,005.00",20MMX2CMX120CM ATLAS PTA BALL ,standard
1550,20MMX4CM TYSHAK II BALL ,standard
1590,20MMX4CM Z-II BALL ,standard
1285,20MMX4CM Z-MED BALL ,standard
1510,20MMX5CM TYSHAK II BALL ,standard
"1,635.00",20MMX6CM Z-II BALL ,standard
30,21 GA NEEDLE ,standard
MarkUp,21/45/21 CANNULA ,standard
30,21GA SHARP NEEDLE ,standard
30,21GA X 2.5CM ENTRY NEEDLE ,standard
30.00,21GA X 4CM ENTRY NEEDLE ,standard
40,22.038 DILATOR (COONS) ,standard
115,22.0-38 PEELAWAY SHEATH ,standard
33.00,22FR DILATOR ,standard
50,22G CHIBA NEEDLE ,standard
60,22GAX10CM CHIBA BIOPSY NEEDLE ,standard
"1,355.00",22MMX2CMX75CM ATLAS PTA BALL ,standard
1510,22MMX4CM TYSHAK II BALL ,standard
1433,22MMX4CM Z-II BALL ,standard
1510,22MMX5CM TYSHAK II BALL ,standard
1590,22MMX6CM Z-II BALL ,standard
20,2301-0378-03 GEL ,standard
1510,23MMX4CM TYSHAK II BALL ,standard
1510,23MMX5CM TYSHAK II BALL ,standard
"1,590.00",23MMX6CM Z-II BALL ,standard
115,24.0-38 SHEATH ,standard
909.00,24MM SIZING BALL ,standard
90,24X24 POLYESTER NETTED DRESSING ,standard
138,25 ANGLED GUIDEWIRE ,standard
148,25-15 CURVE NEEDLE ,standard
"1,090.00",25MMX 4CMTYSHAK BALL ,standard
1510,25MMX4CM TYSHAK II BALL ,standard
1285,25MMX4CM Z-MED BALL ,standard
"1,385.00",25MMX5CM TYSHAK II BALL ,standard
1590,25MMX5CM Z-II BALLOON ,standard
1550,25MMX6CM Z-II BALL ,standard
"4,180.00",265CM RFA WIRE-NUKANEN ,standard
1830,26MMX3CM Z-MED BALL ,standard
1830,26MMX4CM Z-MED BALL ,standard
435,2D ECHOCARDIOGRAM ,standard
224,2F BASIC PICC TRAY SNGL LUMEN ,standard
"1,345.00",2MMX4CM TYSHAK BALL ,standard
3473,2X1 COIL GDC 10-US ,standard
20.00,"3 ELASTIC BANDAGE """,standard
20.00,"3 ELASTIC BANDAGE """,standard
35.10,3% NACL PEDS BOLUS ANESTHESIA UF [404462],standard
60.00,3.018 6CM CHECK-FLO INTRO SET ,standard
3335,3.0MM SPIDER EMBOLIC PROT DEV ,standard
825,3.0MMX20MM STER ES OTW BALL ,standard
"1,163.00",3.0MMX2CMX80CM MINI GHOST BALL ,standard
825,3.5MMX20MM STER ES OTW BALL ,standard
"1,163.00",3.5MMX2CMX80CM MINI GHOST BALL ,standard
80.00,3/18 PIGTAIL CATH ,standard
825,300-500 EMBOSPH 2ML ,standard
2160,34CC INTRA AORTIC BALLON ,standard
885,34MM SIZING BALL ,standard
50,35 EXCH GUIDEWIRE ,standard
70,35 GUIDEWIRE ,standard
50,35 ROSEN EXCH GUIDEWIRE ,standard
33,35 ROSEN GUIDEWIRE ,standard
4010,3D COIL 2-3MM ,standard
4490,3D COIL 4-10MM ,standard
3203,3D DETACH COIL 7-16MM ,standard
"1,200.00",3D ON INDEPENDENT WRKST ,standard
1165,3D RENDERING INDEP WORKSTATION ,standard
1165,3D RENDERING SAME WORKSTATION ,standard
1219,3F 120CM BIOPSY FORCEP ,standard
1428,3F 120CM VASC RETRIEVAL FORCEP ,standard
1840,3F 175CM 7MM LOOP MICROSNARE K ,standard
1219,3F 60CM BIOPSY FORCEP ,standard
1454,3F 60CM VASC RETRIEVAL FORCEPS ,standard
510,3F SGL PASV PICC ,standard
50.00,3FR PED CARIDI CATH ,standard
MarkUp,3FR PED OMNI FLUSH ,standard
199,3FR SGL PICC TRAY ,standard
724,3FT ADAPTER CABLE 6-9 POLE ,standard
30,"4 ELASTIC BANDAGE """,standard
30,"4 ELASTIC BANDAGE """,standard
60,4.0-18-30.0-MPIS CATH ,standard
60,4.021 5CM PERFORMER INTRO SET ,standard
115,4.021 7.5CM INTRO ,standard
173,4.025 45CM PERF CHB SHEATH ,standard
173,4.025 75CM PERF CHB SHEATH ,standard
80,4.035 11CM INTRO ,standard
60,4.0G-18-10.0-MPIS DILATOR ,standard
3335,4.0MM SPIDER EMBOLIC PROT DEV ,standard
"1,090.00",4.0MMX1CM TYSHAK BALL ,standard
825,4.0MMX20MMX80CM STER ES OTW BA ,standard
1438,4.0MMX2CM TYSHAK II BALL ,standard
"1,438.00",4.0MMX2CM TYSHAK MINI BALL ,standard
1163,4.0MMX2CMX80CM MINI GHOST BALL ,standard
825,4.0MMX30MMX80CM STER ES OTW BA ,standard
1163,4.0MMX3CMX80CM MINI GHOST BALL ,standard
825,4.0MMX40MMX80CM STER ES OTW BA ,standard
1163,4.0MMX4CMX80CM MINI GHOST BALL ,standard
80,4.1-80CM JL1 CATHETER ,standard
50,4.1-80CM JL1.5 CATHETER ,standard
50,4.1-80CM JL2 CATHETER ,standard
575,4.2F 71CM SGL LUMEN BROV INTRO ,standard
760.00,4.5MM VOICE PROSTHESIS ,standard
"1,163.00",4.5MMX2CMX80CM MINI GHOST BALL ,standard
"1,163.00",4.5MMX4CMX80CM MINI GHOST BALL ,standard
40,4/100 VERTEBRAL CATH ,standard
40.00,4/65 BERENSTEIN COIL ,standard
40.00,4/65 OMNI FLUSH CATH ,standard
40.00,4/65 PIGTAIL CATH ,standard
40,4/90 OMNIFLUSH CATH ,standard
2160,40CC INTRA AORTIC BALLON ,standard
163,4-100 C2 GLIDECATH CATHETER ,standard
158,4-100 GLIDECATH ANGLED TAPER ,standard
158,4-100 GLIDECATH STR CATHETER ,standard
224,4-110CM PACEL BIP PACING CATH ,standard
158,4-120 GLIDECATH STR CATHETER ,standard
163.00,4-150 GLIDECATH NONTAPER ANGL ,standard
163,4-150 GLIDECATH STRAIGHT ,standard
40,4-35 DILATOR ,standard
158,4-65 C1 GLIDECATH CATHETER ,standard
40,4-65 CB1 CATHETER ,standard
158,4-65 GLIDECATH CATH (NO TAPER) ,standard
60,4-70 JL 3.0 PERFORMA ,standard
70,4-70CM HIGH FLOW PIGTAIL ,standard
40,"48 CONTRAST INJECTION LINE """,standard
1865,4-8CM ATRIEVE SNARE SYSTEM ,standard
194.00,4F 50CM BERMAN CATHETER ,standard
285,4F 5CM CENTRAL VENOUS CATH TRAY ,standard
365.00,4F 5MM SUPREME CRD CURVE ,standard
365,4F 5MM SUPREME JSN CURVE ,standard
"1,459.00",4F DECAPOLAR LARGE CURL INQUIR ,standard
90.00,4F MICRO INTRO KIT ,standard
110,4F MICRO INTRO KIT STIFF ,standard
90.00,4F MICRO INTRO KIT W/NITINOL W ,standard
70,4F MICRO STIFF PEDIATRIC INTRO ,standard
153.00,4F MULTI INFINITI CATH (CRV PI ,standard
115,4F MULTI INFINITI CATH (STR PI ,standard
265,4FR DUAL CATH PICC TRAY ,standard
69,4FR MICRO ACCESS PLAT ,standard
40,4FR PIGTAIL CATH ,standard
224,4FR SGL PICC TRAY ,standard
275,4FR SINGLE PASV ,standard
245.00,4FRX135X5 INFUSE CATH ,standard
428,5 FR PIG-CSC-20 CATHETER ,standard
70,5.018 10CM MICRO SET W/NITI WI ,standard
50,5.021 5CM PERFORMER INTRO SET ,standard
214,5.032 48CM CHECK-FLO PERFORMER INTRO ,standard
90,5.035 45CM PERFORMER INTRO SET ,standard
168,5.035 63CM CHECK FLO PERF INTR ,standard
115,5.038 5.5CM INTRO ,standard
"3,335.00",5.0MM SPIDER EMBOLIC PROT DEV ,standard
825,5.0MMX20MMX80CM STER ES OTW BA ,standard
"1,438.00",5.0MMX2CM TYSHAK II BALL ,standard
"1,438.00",5.0MMX2CM TYSHAK MINI BALL ,standard
"1,204.00",5.0MMX2CMX80CM MINI GHOST BALL ,standard
825,5.0MMX30MMX80CM STER ES OTW BA ,standard
1438,5.0MMX3CM TYSHAK II BALL ,standard
"1,163.00",5.0MMX3CMX80CM MINI GHOST BALL ,standard
825,5.0MMX40MMX80CM STER ES OTW BA ,standard
"1,130.00",5.0MMX4CMX80CM MINI GHOST BALL ,standard
1100,5.2F 60CM BIOPSY FORCEP ,standard
90,5.5-7 SHEATH ,standard
"1,163.00",5.5MMX2CMX80CM MINI GHOST BALL ,standard
1130,5.5MMX4CMX80CM MINI GHOST BALL ,standard
40,5/100 JB2 CATH ,standard
40.00,5/100 VERTEBRAL CATH ,standard
60,5/35 DILATOR ,standard
40,5/65 BERENSTEIN COIL ,standard
40.00,5/80 SOS OMNI 2 CATH ,standard
810,500-700 EMBOSPH 2ML ,standard
2160,50CC INTRA AORTIC BALLON ,standard
959,50CM MILLER SEPTOSTOMY BALL ,standard
163,5-100 ANGLED GLIDECATH XP CATH ,standard
158,5-100 BER GLIDECATH ANG TAPER ,standard
163,5-100 GLIDECATH STR CATH ,standard
168,5-100 MPA CONVEY GUIDE ,standard
163,5-100 MULTIPURPOSE ,standard
163,5-100 SIM 2 (S2) GLIDECATH XP ,standard
163,5-100 STR GLIDECATH XP CATH ,standard
40,5-100CM OMNI FLUSH CATHETER ,standard
40,5-100CM VTK CATHETER ,standard
138,5-125CM VTK CATHETER ,standard
360,5-50 RASHKIND SEPTOSTOMY BALL ,standard
80.00,5-65 AO VESSEL SIZING CATHETER ,standard
305,5-75CM CS IMPRESS CATH ,standard
163,5-80CM GOODALE-LUBIN CATHETER ,standard
345,5F 20CM PERICARD (CUSTOM) SET ,standard
370,5F 20CM PERICARD TRAY ,standard
184,5F 50CM BERMAN CATHETER ,standard
214,5F 80CM REVERSE BERMAN ,standard
184,5F J-TIP PACING SWAN ,standard
110.00,5F MICRO INTODUCER KIT STIFF ,standard
90.00,5F MICRO INTRO KIT ,standard
179,5F PACING SWAN ,standard
320,5F QUAD JSN SUPREME CATHETER ,standard
173,5F RAD GLIDESHEATH HYDOPHIL ,standard
479,5F SIZING OMNI FLUSH ,standard
673,5F TD SWAN ,standard
40,5FR 65CM PIGTAIL CATH ,standard
40.00,5FR 90CM PIGTAIL CATH ,standard
383,5FR DUAL CATH TRAY ,standard
403,5FR DUAL CATH TRAY PASV ,standard
964,5FR MULT C GUIDE CATH ,standard
199,5FR PICC LINE CATH ,standard
39.00,5-HIAA ,standard
3620,5X12 GENESIS STENT ,standard
3620,5X15 GENESIS STENT ,standard
30.00,"6 ELASTIC BANDAGE """,standard
30,"6 ELASTIC BANDAGE """,standard
168.00,6.032 CHECK-FLO PERFORMER INTRO ,standard
275,6.0-35-40-BLKN SHEATH ,standard
335,6.038 45CM DEST RENAL ST SHEAT ,standard
148.00,6.038 45CM FLEXOR INTRO SET ,standard
173,6.038 55CM FLEXOR RAABE SHEATH ,standard
173,6.038 70CM FLEXOR RAABE SHEATH ,standard
315,6.038 90CM DEST CAROTID ST SHE ,standard
383,6.038 90CM SHUTTLE SHEATH ,standard
189,6.0-38-30-VAD5 SHEATH ,standard
"3,435.00",6.0MM SPIDER EMBOLIC PROT DEV ,standard
825.00,6.0MMX20MMX80CM STER OTW BALL ,standard
1438,6.0MMX2CM TYSHAK II BALL ,standard
1438,6.0MMX2CM TYSHAK MINI BALL ,standard
"1,163.00",6.0MMX2CMX80CM MINI GHOST BALL ,standard
825,6.0MMX30MMX80CM STER OTW BALL ,standard
"1,510.00",6.0MMX3CM TYSHAK BALL ,standard
"1,163.00",6.0MMX3CMX80CM MINI GHOST BALL ,standard
825,6.0MMX40MMX80CM STER OTW BALL ,standard
1163,6.0MMX4CMX80CM MINI GHOST BALL ,standard
40,6/10 SHEATH ,standard
1520,6/90 ME GUIDE CATH ,standard
184,6-100 3DRC GUIDE ,standard
184,6-100 3DRC SH GUIDE ,standard
80.00,6-100 MULTIPACK CATHETER ,standard
50,6-100CM FA (FELDMAN AS) CATHET ,standard
50,6-100CM FA2 (FELDMAN AS) CATH ,standard
1100,6-10MM/120CM SNARE ,standard
365,6-110CM DUAL LUMEN PIGTAIL ,standard
285,6-110CM PACEL BIP PACING CATH ,standard
70,6-125 FL7 CATHETER ,standard
70,6-125 MPA2 CATHETER ,standard
1585,6-145CM EXPORT CATHETER (.014) ,standard
570,635001 DCS SYRINGE ,standard
173,6F 110CM WEDGE DOUBLE-LUMEN ,standard
80,6F 24CM ARROW FLEX SHEATH ,standard
194,6F 60CM BERMAN CATHETER ,standard
194,6F 90CM BERMAN CATHETER ,standard
755.00,6F ANGIOSEAL VIP ,standard
500,6F DECAPOLAR CRD RESPONSE ,standard
500,6F DECAPOLAR JSN RESPONSE ,standard
1355,6F EXPRSWY RX EXTRACT CATHETER ,standard
70,6F INTRO 10CM ,standard
1270,6F LIVEWIRE SWEEP DECAPOLAR ,standard
2468,6F LRG CURVE 6F/4MM TIP ABL ,standard
320,6F QUAD JSN CATHETER ,standard
173,6F RAD GLIDESHEATH HYDOPHIL SH ,standard
2335,6F STAND CURVE 6F/4MM TIP ABL ,standard
50,6F VAD2 CATH ,standard
355.00,6FR 90CM GUIDING CATH ,standard
60.00,6FR DILATOR ,standard
275,6FR HOCKEY GUIDE CATH ,standard
760,6MM VOICE PROSTHESIS ,standard
3680,6MMX18MM EXPRESS STENT NON-COA ,standard
315,6MMX4CM POWERFLEX P3 BALL ,standard
653.00,6MMX4CMX75CM CONQ PTA BALL ,standard
MarkUp,6X12 GENESIS STENT ,standard
MarkUp,6X15 GENESIS STENT ,standard
MarkUp,7.0 X 12 GENESIS STENT ,standard
MarkUp,7.0 X 15 GENESIS STENT ,standard
315,7.038 45CM DEST RENAL ST SHEAT ,standard
128.00,7.038 45CM PERF MBFI SHEATH ,standard
173,7.038 55CM FLEXOR RAABE SHEATH ,standard
315,7.038 90CM DEST CAROTID ST SHE ,standard
383,7.038 90CM SHUTTLE SHEATH ,standard
173,7.038 FLEX CHECK FLO INTRO 70C ,standard
"3,435.00",7.0MM SPIDER EMBOLIC PROT DEV ,standard
825,7.0MMX20MMX80CM STER OTW BALL ,standard
"1,385.00",7.0MMX2CM TYSHAK II BALL ,standard
1285,7.0MMX2CM Z-MED BALL ,standard
825,7.0MMX30MMX80CM STER OTW BALL ,standard
"1,510.00",7.0MMX3CM TYSHAK II BALL ,standard
"1,438.00",7.0MMX3CM TYSHAK MINI BALL ,standard
825,7.0MMX40MMX80CM STER OTW BALL ,standard
120,7.5F DILATOR ,standard
340,7.5F INSERTION KIT ,standard
138.00,7.5F PACING SWAN ,standard
7385,7.5F THERMO-COOL BI-DIR (NAV) ,standard
70,7/10 SHEATH ,standard
360,7/90 STR GUIDE CATH ,standard
610.00,700-900 EMBOSPH 2ML ,standard
173,7-100 LEHMAN CATHETER ,standard
184,7-100 XBLAD 3.5 GUIDE ,standard
184,7-100 XBLAD 4.0 GUIDE ,standard
50.00,7-100CM AP2 CATHETER (BIOSPSY) ,standard
70,7-45CM BIOPSY SHEATH JUGULAR ,standard
105,7-75CM ANGLED PIGTAIL JUGULAR ,standard
245,7-96CM BIOPSY SHEATH FEMORAL ,standard
184,7F 110CM BERMAN CATHETER ,standard
194,7F 110CM REVERSE BERMAN ,standard
439,7F 13CM PEEL APART INTRO SYST ,standard
1840,7F 175CM 7MM LOOP MICROSNARE K ,standard
80,7F 24CM ARROW FLEX SHEATH ,standard
194.00,7F 35CM ARROW FLEX SHEATH ,standard
620,7F 65CM (BROVIAC) WHITE CON ,standard
194,7F 90CM BERMAN CATHETER ,standard
4535,7F ASYM #4 CURVE STD END 8F/10 ,standard
2355,7F DUO-DEC (2-10-2) SUPER LRG ,standard
3410,7F DUO-DEC H CURV STEER INQ ,standard
3198,7F DUO-DEC H LARGE CURV STEER ,standard
1015,7F ENSNARE SYSTEM ,standard
3735,7F IBI 15-15 VAR RAD SPIRAL CA ,standard
70,7F INTRO 10CM ,standard
3320,7F LASSO 20 POLE 15MM CATH ,standard
