Facility,Description - UPPERCASE,Unit Price
Cooper Service Area,ABUTMENT HL EV 3.6X4 UNI  [25286],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X4.5MM  [25299],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X6 UNI  [25287],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X6.5MM  [25796],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X2 UNI  [25288],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X3 UNI  [25579],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X3.5/5MM  [25303],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X3.5/6.5MM  [25304],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X3.5MM  [25501],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X4 UNI  [25289],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X4.5MM  [25302],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X6 UNI  [25290],$305.55
Cooper Service Area,ABUTMENT HL EV 4.2X6.5MM  [25797],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X2 UNI  [25291],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X3 UNI  [25580],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X3.5/5MM  [25305],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X3.5/6.5MM  [25307],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X3.5MM  [25502],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X4 UNI  [25292],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X4.5MM  [25306],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X6 UNI  [25293],$305.55
Cooper Service Area,ABUTMENT HL EV 4.8X6.5MM  [25798],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X2 UNI  [25294],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X3 UNI  [25581],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X3.5MM  [25309],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X4 UNI  [25295],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X4.5MM  [25308],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X6 UNI  [25296],$305.55
Cooper Service Area,ABUTMENT HL EV 5.4X6.5MM  [25799],$305.55
Cooper Service Area,ABUTMENT INTNL 5.7 3MM HGT REG EMERGENCE HL [PBRHA3],$196.91
Cooper Service Area,ABUTMENT LOCK 12MM  [93336],"$10,379.00"
Cooper Service Area,ACCESSORY KIT-ANCHOR  [3550-39],$727.50
Cooper Service Area,ACCESSORY NDL 6 IN ,$266.75
Cooper Service Area,ACETABULAR CUP SZ 50MM  [121732050],"$5,335.00"
Cooper Service Area,ACETABULAR CUP SZ 54MM  [1217-32-054],"$5,335.00"
Cooper Service Area,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION",$137.13
Cooper Service Area,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY,$1.49
Cooper Service Area,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML (5 ML) ORAL SOLUTION,$5.99
Cooper Service Area,ACETAMINOPHEN 120 MG-CODEINE 12 MG/5 ML ORAL SOLUTION,$0.50
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SOLUTION,$7.86
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL LIQUID,$0.50
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$14.55
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$10.96
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$10.91
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$9.70
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$9.68
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$7.28
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$6.06
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$5.48
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$4.85
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$2.04
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSP,$0.50
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION,$1.14
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION,$0.70
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION,$0.56
Cooper Service Area,ACETAMINOPHEN 160 MG/5 ML ORAL SUSPENSION,$0.51
Cooper Service Area,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,$2.04
Cooper Service Area,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,$1.29
Cooper Service Area,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,$0.87
Cooper Service Area,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,$0.65
Cooper Service Area,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET,$0.63
Cooper Service Area,ACETAMINOPHEN 32 MG/ML ORAL SYRINGE  (FOR ORAL USE ONLY),$6.23
Cooper Service Area,ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY,$0.50
Cooper Service Area,ACETAMINOPHEN 325 MG TABLET,$0.50
Cooper Service Area,ACETAMINOPHEN 325 MG/10.15 ML ORAL SOLUTION,$8.81
Cooper Service Area,ACETAMINOPHEN 500 MG TABLET,$0.50
Cooper Service Area,ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY,$1.35
Cooper Service Area,ACETAMINOPHEN 80 MG CHEWABLE TABLET,$0.50
Cooper Service Area,ACETAMINOPHEN 80 MG RECTAL SUPPOSITORY,$3.40
Cooper Service Area,ACETAZOLAMIDE 125 MG TABLET,$8.46
Cooper Service Area,ACETAZOLAMIDE 250 MG TABLET,$16.93
Cooper Service Area,ACETAZOLAMIDE 250 MG TABLET,$11.19
Cooper Service Area,ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,$152.78
Cooper Service Area,ACETAZOLAMIDE 500 MG SOLUTION FOR INJECTION,$106.60
Cooper Service Area,"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE",$18.99
Cooper Service Area,"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE",$6.06
Cooper Service Area,ACETIC ACID (BULK) 5 % LIQUID,$80.03
Cooper Service Area,ACETIC ACID 0.25 % IRRIGATION SOLUTION,$25.46
Cooper Service Area,ACETIC ACID 0.25 % IRRIGATION SOLUTION,$24.25
Cooper Service Area,ACETIC ACID 2 % EAR SOLUTION,$135.82
Cooper Service Area,ACETIC ACID VAGINAL SOLUTION,$4.52
Cooper Service Area,ACETONE (URINE) TEST STRIPS,$0.87
Cooper Service Area,ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT,$479.67
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,"$1,003.95"
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION,$911.85
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$62.04
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$58.20
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$23.77
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$23.57
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$13.48
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$6.62
Cooper Service Area,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION,$6.46
Cooper Service Area,ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION,$106.51
Cooper Service Area,ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION,$64.60
Cooper Service Area,ACTIVATED CHARCOAL 50 GRAM/240 ML ORAL SUSPENSION,$72.75
Cooper Service Area,ACTIVATED CHARCOAL-SORBITOL 50 GRAM/240 ML ORAL SUSPENSION,$72.75
Cooper Service Area,ACYCLOVIR 200 MG CAPSULE,$1.43
Cooper Service Area,ACYCLOVIR 200 MG CAPSULE,$0.65
Cooper Service Area,ACYCLOVIR 200 MG CAPSULE,$0.59
Cooper Service Area,ACYCLOVIR 200 MG/5 ML ORAL SUSPENSION,$18.26
Cooper Service Area,ACYCLOVIR 400 MG TABLET,$1.88
Cooper Service Area,ACYCLOVIR 400 MG TABLET,$0.90
Cooper Service Area,ACYCLOVIR 400 MG TABLET,$0.86
Cooper Service Area,ACYCLOVIR 800 MG TABLET,$3.27
Cooper Service Area,ACYCLOVIR 800 MG TABLET,$1.47
Cooper Service Area,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,$91.18
Cooper Service Area,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,$84.88
Cooper Service Area,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,$54.56
Cooper Service Area,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION,$50.93
Cooper Service Area,ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS PEN KIT,"$12,547.17"
Cooper Service Area,ADALIMUMAB 40 MG/0.8 ML SUBCUTANEOUS SYRINGE KIT,"$12,547.17"
Cooper Service Area,ADAPTER +3 NK BIOLOX OPTN TPR PLS [650-1067],"$1,120.35"
Cooper Service Area,ADAPTER 15CM PRCS M8  [SC-9218-15],"$5,286.50"
Cooper Service Area,ADAPTER 25MM BSPLT GLND STD VERSA-DIAL [118000],$853.60
Cooper Service Area,ADAPTER 2MM TRTHLN TOT KN SYS OFST,"$5,481.71"
Cooper Service Area,ADAPTER 4MM TRTHLN TOT KN SYS OFST,"$5,481.71"
Cooper Service Area,ADAPTER 6 NK BIOLOX OPTION TPR PLUS [650-1068],"$1,120.35"
Cooper Service Area,ADAPTER 6MM TRTHLN TOT KN SYS OFST,"$5,481.71"
Cooper Service Area,ADAPTER 8MM TRTHLN TOT KN SYS OFST,"$5,481.71"
Cooper Service Area,ADAPTER BIOLOX TPR  [650-1066],"$1,120.35"
Cooper Service Area,ADAPTER CMPR SCM TAPER  [178711],"$4,348.03"
Cooper Service Area,ADAPTER DRL LG AO HALL CPLNG ASNIS III,"$1,470.91"
Cooper Service Area,ADAPTER DRL PLT LFT LAT PROX TIB AXSOS,"$4,067.65"
Cooper Service Area,ADAPTER DRL PLT RT LAT PROX TIB AXSOS,"$5,747.35"
Cooper Service Area,ADAPTER DRVR HP LAG SCRW OMEGA 2,"$1,438.46"
Cooper Service Area,ADAPTER F/ DTS CLBRT STAND ,$857.48
Cooper Service Area,ADAPTER FEM ,"$9,845.50"
Cooper Service Area,ADAPTER FEM BOLT 2 ,"$1,445.30"
Cooper Service Area,ADAPTER HP NK LGTH STD SZ  [184080],"$1,304.65"
Cooper Service Area,ADAPTER NAIL T2 ,"$6,648.48"
Cooper Service Area,ADAPTER NAILNPROX HUM T2 ,"$1,013.07"
Cooper Service Area,ADAPTER NUT ORTH PROX LAT TIB ,$350.90
Cooper Service Area,ADAPTER OPTION TPR -6 NK BIOLOX [650-1064],"$1,120.35"
Cooper Service Area,ADAPTER OSS 15CM W/SCREWS DIAPHYSEAL,"$24,250.00"
Cooper Service Area,ADAPTER STUMP OSS 6CM OSSEOTI (CUSTOM MADE IMPLANT) [CP116253],"$55,217.25"
Cooper Service Area,ADAPTER T2 ANKLE AIMING ARTHRODESIS,"$1,306.83"
Cooper Service Area,ADAPTER TPR +25MM VERSA DIAL  [110031378],"$1,406.50"
Cooper Service Area,ADAPTER VALVE HEMO ,$97.00
Cooper Service Area,ADAPTOR 25 KHZ STR MICRO DAIA TIP,"$3,346.50"
Cooper Service Area,ADAPTOR 360 KN SYS OFST W/ SCR 7.5MM [185212],"$3,867.88"
Cooper Service Area,ADAPTOR 360 OFST 2.5MM W/ SCR ,"$3,867.88"
Cooper Service Area,ADAPTOR 360 OFST 5MM W/ SCR BIOMET SINGLE USE [185211],"$3,867.88"
Cooper Service Area,ADAPTOR APEX PIN SHRT ,"$1,271.09"
Cooper Service Area,ADAPTOR COMPREHENSIVE STD ,$853.60
Cooper Service Area,ADAPTOR DRV W/ QC F/ 4.5MM SCHNZ SCR,$992.31
Cooper Service Area,ADAPTOR DRV W/ QC F/ 5.0MM SCHNZ SCR,$992.31
Cooper Service Area,ADAPTOR DRV W/ QC F/ 6.0MM SCHNZ SCR,$992.31
Cooper Service Area,ADAPTOR F/ INJ OPN ,$480.15
Cooper Service Area,ADAPTOR F/ INJ OPN (USE ITEM # 419768),$480.15
Cooper Service Area,ADAPTOR HUM MRS PROX SPECIAL ORTHO SOLUTIONS [C-M101-0-800],"$15,520.00"
Cooper Service Area,ADAPTOR MEDIUM WIRE BOLT  [4933-1-002],$317.77
Cooper Service Area,ADAPTOR MRS PROX HUM F/ MRS INTERCALARY STM [C-M107-6-700],"$26,675.00"
Cooper Service Area,ADAPTOR PIN SHORT POST ,$347.65
Cooper Service Area,ADAPTOR WIRE BOLT LONG ,$969.61
Cooper Service Area,ADAPTOR WIRE BOLT SHORT ,$831.10
Cooper Service Area,ADENOSINE (DIAGNOSTIC) 3 MG/ML INTRAVENOUS SOLUTION,$420.20
Cooper Service Area,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,$26.55
Cooper Service Area,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,$14.43
Cooper Service Area,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION,$12.85
Cooper Service Area,ADENOSINE 3 MG/ML INTRAVENOUS SYRINGE,$38.80
Cooper Service Area,ADEPT SOLUTION ADEPT  [0600041],"$1,217.88"
Cooper Service Area,ADHESIVE BIO-GLUE 10ML SYR SYS  [BG3510-5-US],"$4,495.95"
Cooper Service Area,ADHESIVE BIO-GLUE CARTRDG 5 ML SYRINGE [BG3515-5-US],"$3,807.25"
Cooper Service Area,ADHESIVE BIO-GLUE TIPS 27 CM  [BGAT-27-SY],$84.29
Cooper Service Area,ADHESIVE BIO-GLUE TIPS STD  [BGAT-SY],$52.77
Cooper Service Area,AEROSIZER STENT SIZING DEVICE ,$848.75
Cooper Service Area,AGALSIDASE BETA 5 MG INTRAVENOUS SOLUTION,"$4,204.95"
Cooper Service Area,AGENT HEMOSTAT ARISTA AH 3 GR SURGICAL 2,$788.13
Cooper Service Area,AIRWAY NASOPHARYNGEAL 32 FR ,$13.68
Cooper Service Area,ALBENDAZOLE 200 MG TABLET,"$1,176.95"
Cooper Service Area,ALBENDAZOLE 200 MG TABLET,$925.16
Cooper Service Area,ALBENDAZOLE 200 MG TABLET,$494.64
Cooper Service Area,ALBUMIN (URINE) TEST STRIPS,$2.21
Cooper Service Area,"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",$436.50
Cooper Service Area,"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION",$232.80
Cooper Service Area,"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION",$436.50
Cooper Service Area,"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION",$232.80
Cooper Service Area,"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION",$223.10
Cooper Service Area,ALBUTEROL SULFATE 1.25 MG/3 ML SOLUTION FOR NEBULIZATION,$10.31
Cooper Service Area,ALBUTEROL SULFATE 2 MG TABLET,$28.49
Cooper Service Area,ALBUTEROL SULFATE 2 MG TABLET,$22.80
Cooper Service Area,ALBUTEROL SULFATE 2 MG/5 ML ORAL SYRUP,$2.50
Cooper Service Area,ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,$1.17
Cooper Service Area,ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,$0.97
Cooper Service Area,ALBUTEROL SULFATE 2.5 MG/3 ML (0.083 %) SOLUTION FOR NEBULIZATION,$0.93
Cooper Service Area,ALBUTEROL SULFATE 4 MG TABLET,$22.80
Cooper Service Area,ALBUTEROL SULFATE 4 MG TABLET,$15.10
Cooper Service Area,ALBUTEROL SULFATE CONCENTRATE 2.5 MG/0.5 ML SOLUTION FOR NEBULIZATION,$1.84
Cooper Service Area,ALBUTEROL SULFATE CONCENTRATE 5 MG/ML(0.5 %) SOLUTION FOR NEBULIZATION,$5.86
Cooper Service Area,ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER,$107.01
Cooper Service Area,ALDESLEUKIN 22 MILLION UNIT INTRAVENOUS SOLUTION,$619.51
Cooper Service Area,ALENDRONATE 10 MG TABLET,$2.30
Cooper Service Area,ALENDRONATE 10 MG TABLET,$1.77
Cooper Service Area,ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION,"$3,921.23"
Cooper Service Area,ALGLUCOSIDASE ALFA 50 MG INTRAVENOUS SOLUTION,"$3,918.80"
Cooper Service Area,"ALLERGEN EXT-TRICHOPHYTON MENTAGROPHYTES 20,000 UNIT/ML INJECTION SOLN",$145.49
Cooper Service Area,ALLOGRAFT 10/10MM PSHP BTB ,"$17,460.00"
Cooper Service Area,ALLOGRAFT 16.5CMX28MMX0.10MM FEMUR DIST LT OA [460300],"$46,123.50"
Cooper Service Area,ALLOGRAFT 2.3MMX19MM 0D PRSV HAMMERTOE [P01-H00-2319],"$9,942.50"
Cooper Service Area,ALLOGRAFT 2.3X6MM PRSV REV IP SPCR [P01-H03-2306],"$3,516.25"
Cooper Service Area,ALLOGRAFT 2X2CM DERMAPURE DBM DRML [020200HD],"$3,516.25"
Cooper Service Area,ALLOGRAFT 2X3CM DERMAPURE DBM DRML [020300HD],"$3,928.50"
Cooper Service Area,ALLOGRAFT 3X4CM DRML DECELLULARIZED [030400HD],"$5,577.50"
Cooper Service Area,ALLOGRAFT 4CMX8CM BIOFIX + AMNIO MEMBR,"$24,178.46"
Cooper Service Area,ALLOGRAFT 4X6CM DERMAPURE DBM DRML [040600HD],"$10,645.75"
Cooper Service Area,ALLOGRAFT 6X14X16MM OPTIO-C PARA [07.01850.006],"$6,305.00"
Cooper Service Area,ALLOGRAFT 7X10CM DERMAPURE DBM DRML [071000HD],"$11,882.50"
Cooper Service Area,ALLOGRAFT 8X14X16MM OPTIO-C PARA [07.01850.008],"$6,305.00"
Cooper Service Area,ALLOGRAFT 9X15CM XS FLX HD PLBL SHP PERF [SF1000],"$11,478.98"
Cooper Service Area,ALLOGRAFT 9X82 LNGTH GRFT LNK  [GRX-001],"$12,125.00"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 10MM  [30-5010],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 11MM  [30-5011],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 12MM  [30-5012],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 5MM  [30-5005],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 6MM  [30-5006],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 7MM  [30-5007],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 8MM  [30-5008],"$5,844.25"
Cooper Service Area,ALLOGRAFT ALLOQUENT-S 9MM  [30-5009],"$5,844.25"
Cooper Service Area,ALLOGRAFT AMNIOFIX SHT 2X12CM  [APS-5212],"$4,820.90"
Cooper Service Area,ALLOGRAFT DBM + PUTTY 5CC W/ CANC CHIPS [3102-1205],"$5,676.44"
Cooper Service Area,ALLOGRAFT DBM GEL 10CC  [3102-1110],"$9,215.00"
Cooper Service Area,ALLOGRAFT DBM GEL 1CC  [3102-1101],"$1,511.26"
Cooper Service Area,ALLOGRAFT DBM PUTTY 10CC  [3102-1010],"$9,215.00"
Cooper Service Area,ALLOGRAFT DBM PUTTY 5CC  [3102-1005],"$5,676.44"
Cooper Service Area,ALLOGRAFT MD 11X20CMX0.7-1.4MM THK FLEXHD PLBL SHP PERF THN [SF2000],"$17,928.51"
Cooper Service Area,ALLOGRAFT MEDIUM NUCEL  [NC-1001],"$8,075.25"
Cooper Service Area,ALLOGRAFT OCA 10MM FRESH PLUG  [45647010],"$12,100.75"
Cooper Service Area,ALLOGRAFT OPTO-C 14X16X7MM 6D LRDCTC [07.01853.007],"$6,305.00"
Cooper Service Area,ALLOGRAFT PLANTARIS FRZN SNGL STRAND [2315-14],"$5,820.00"
Cooper Service Area,ALLOGRAFT RDS DIST RT OA (HUMAN BONE) [460333],"$38,615.70"
Cooper Service Area,ALLOGRAFT RT DIST TIB  [32747001],"$31,525.00"
Cooper Service Area,ALLOGRAFT SM 10X17CMX0.7-1.4MM THK FLEXHD PLBL SHP PERF THN [SF1500],"$13,970.04"
Cooper Service Area,ALLOGRAFT TIB PROX RT APC  [460385],"$48,271.08"
Cooper Service Area,ALLOMATRIX INJ PUTTY 1 CC  [86000100],$727.50
Cooper Service Area,ALLOPURINOL 100 MG TABLET,$2.01
Cooper Service Area,ALLOPURINOL 100 MG TABLET,$1.52
Cooper Service Area,ALLOPURINOL 100 MG TABLET,$1.38
Cooper Service Area,ALLOPURINOL 100 MG TABLET,$0.80
Cooper Service Area,ALLOPURINOL 100 MG TABLET,$0.61
Cooper Service Area,ALLOPURINOL 300 MG TABLET,$3.56
Cooper Service Area,ALLOPURINOL 300 MG TABLET,$3.06
Cooper Service Area,ALLOPURINOL 300 MG TABLET,$2.91
Cooper Service Area,ALLOPURINOL 300 MG TABLET,$0.61
Cooper Service Area,ALLOPURINOL 300 MG TABLET,$0.54
Cooper Service Area,ALLOPURINOL 300 MG TABLET,$0.50
Cooper Service Area,ALLOPURINOL 500 MG INTRAVENOUS SOLUTION,"$18,915.00"
Cooper Service Area,ALPRAZOLAM 0.25 MG TABLET,$0.50
Cooper Service Area,ALPRAZOLAM 0.5 MG TABLET,$0.50
Cooper Service Area,ALPRAZOLAM 1 MG TABLET,$0.59
Cooper Service Area,ALPRAZOLAM 1 MG TABLET,$0.50
Cooper Service Area,ALPROSTADIL 500 MCG/ML INJECTION SOLUTION,$575.08
Cooper Service Area,ALPROSTADIL 500 MCG/ML INJECTION SOLUTION,$525.45
Cooper Service Area,ALTEPLASE 100 MG INTRAVENOUS SOLUTION,"$42,681.75"
Cooper Service Area,ALTEPLASE 2 MG INTRA-CATHETER SOLUTION,$371.17
Cooper Service Area,ALTEPLASE 50 MG INTRAVENOUS SOLUTION,"$21,340.87"
Cooper Service Area,"ALUM, AMMONIUM (BULK) POWDER",$95.55
Cooper Service Area,ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION,$2.43
Cooper Service Area,ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION,$1.60
Cooper Service Area,ALUMINUM HYDROXIDE GEL 320 MG/5 ML ORAL SUSPENSION,$0.53
Cooper Service Area,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,$13.97
Cooper Service Area,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,$1.31
Cooper Service Area,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP,$0.50
Cooper Service Area,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-25 MG CHEWABLE TABLET,$0.54
Cooper Service Area,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-25 MG CHEWABLE TABLET,$0.50
Cooper Service Area,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 400 MG-400 MG-40 MG/5 ML ORAL SUSP,$1.02
Cooper Service Area,ALVIMOPAN 12 MG CAPSULE,$800.69
Cooper Service Area,AMANTADINE HCL 100 MG CAPSULE,$13.33
